diagnosis_id,icd10_code,icd10_description,category,severity_level
93,M17.11.93,"Unspecified primary osteoarthritis, right knee (Variant #93)",Musculoskeletal,Moderate
94,J45.909.94,"Unspecified asthma, uncomplicated (Variant #94)",Respiratory,Moderate
95,R07.9.95,"Chest pain, unspecified (Variant #95)",Cardiovascular,Severe
96,I25.10.96,Atherosclerotic heart disease of native coronary artery (Variant #96),Cardiovascular,Severe
97,I10.97,Essential (primary) hypertension (Variant #97),Cardiovascular,Mild
98,C34.90.98,Malignant neoplasm of unspecified part of bronchus or lung (Variant #98),Oncology,Critical
99,M17.11.99,"Unspecified primary osteoarthritis, right knee (Variant #99)",Musculoskeletal,Moderate
100,G40.909.100,"Epilepsy, unspecified, not intractable (Variant #100)",Neurology,Severe
101,M17.11.101,"Unspecified primary osteoarthritis, right knee (Variant #101)",Musculoskeletal,Moderate
102,N39.0.102,"Urinary tract infection, site not specified (Variant #102)",Urological,Moderate
103,I10.103,Essential (primary) hypertension (Variant #103),Cardiovascular,Mild
104,I25.10.104,Atherosclerotic heart disease of native coronary artery (Variant #104),Cardiovascular,Severe
105,J45.909.105,"Unspecified asthma, uncomplicated (Variant #105)",Respiratory,Moderate
106,E11.9.106,Type 2 diabetes mellitus without complications (Variant #106),Endocrine,Moderate
107,M54.5.107,"Low back pain, unspecified (Variant #107)",Musculoskeletal,Mild
108,N39.0.108,"Urinary tract infection, site not specified (Variant #108)",Urological,Moderate
109,K21.9.109,Gastro-esophageal reflux disease without esophagitis (Variant #109),Gastrointestinal,Mild
110,I25.10.110,Atherosclerotic heart disease of native coronary artery (Variant #110),Cardiovascular,Severe
111,F41.1.111,Generalized anxiety disorder (Variant #111),Mental Health,Moderate
112,N39.0.112,"Urinary tract infection, site not specified (Variant #112)",Urological,Moderate
113,E78.5.113,"Hyperlipidemia, unspecified (Variant #113)",Endocrine,Mild
114,R07.9.114,"Chest pain, unspecified (Variant #114)",Cardiovascular,Severe
115,E11.9.115,Type 2 diabetes mellitus without complications (Variant #115),Endocrine,Moderate
116,N39.0.116,"Urinary tract infection, site not specified (Variant #116)",Urological,Moderate
117,I10.117,Essential (primary) hypertension (Variant #117),Cardiovascular,Mild
118,I25.10.118,Atherosclerotic heart disease of native coronary artery (Variant #118),Cardiovascular,Severe
119,K21.9.119,Gastro-esophageal reflux disease without esophagitis (Variant #119),Gastrointestinal,Mild
120,M17.11.120,"Unspecified primary osteoarthritis, right knee (Variant #120)",Musculoskeletal,Moderate
121,J18.9.121,"Pneumonia, unspecified organism (Variant #121)",Respiratory,Severe
122,J06.9.122,"Acute upper respiratory infection, unspecified (Variant #122)",Respiratory,Mild
123,N39.0.123,"Urinary tract infection, site not specified (Variant #123)",Urological,Moderate
124,R07.9.124,"Chest pain, unspecified (Variant #124)",Cardiovascular,Severe
125,R07.9.125,"Chest pain, unspecified (Variant #125)",Cardiovascular,Severe
126,M17.11.126,"Unspecified primary osteoarthritis, right knee (Variant #126)",Musculoskeletal,Moderate
127,J45.909.127,"Unspecified asthma, uncomplicated (Variant #127)",Respiratory,Moderate
128,I10.128,Essential (primary) hypertension (Variant #128),Cardiovascular,Mild
129,G40.909.129,"Epilepsy, unspecified, not intractable (Variant #129)",Neurology,Severe
130,K21.9.130,Gastro-esophageal reflux disease without esophagitis (Variant #130),Gastrointestinal,Mild
131,G40.909.131,"Epilepsy, unspecified, not intractable (Variant #131)",Neurology,Severe
132,I25.10.132,Atherosclerotic heart disease of native coronary artery (Variant #132),Cardiovascular,Severe
133,I25.10.133,Atherosclerotic heart disease of native coronary artery (Variant #133),Cardiovascular,Severe
134,J18.9.134,"Pneumonia, unspecified organism (Variant #134)",Respiratory,Severe
135,I25.10.135,Atherosclerotic heart disease of native coronary artery (Variant #135),Cardiovascular,Severe
136,J18.9.136,"Pneumonia, unspecified organism (Variant #136)",Respiratory,Severe
137,J45.909.137,"Unspecified asthma, uncomplicated (Variant #137)",Respiratory,Moderate
138,I10.138,Essential (primary) hypertension (Variant #138),Cardiovascular,Mild
139,F41.1.139,Generalized anxiety disorder (Variant #139),Mental Health,Moderate
140,E11.9.140,Type 2 diabetes mellitus without complications (Variant #140),Endocrine,Moderate
141,J18.9.141,"Pneumonia, unspecified organism (Variant #141)",Respiratory,Severe
142,J45.909.142,"Unspecified asthma, uncomplicated (Variant #142)",Respiratory,Moderate
143,N39.0.143,"Urinary tract infection, site not specified (Variant #143)",Urological,Moderate
144,F41.1.144,Generalized anxiety disorder (Variant #144),Mental Health,Moderate
145,E78.5.145,"Hyperlipidemia, unspecified (Variant #145)",Endocrine,Mild
146,I10.146,Essential (primary) hypertension (Variant #146),Cardiovascular,Mild
147,G40.909.147,"Epilepsy, unspecified, not intractable (Variant #147)",Neurology,Severe
148,M54.5.148,"Low back pain, unspecified (Variant #148)",Musculoskeletal,Mild
149,J06.9.149,"Acute upper respiratory infection, unspecified (Variant #149)",Respiratory,Mild
150,E11.9.150,Type 2 diabetes mellitus without complications (Variant #150),Endocrine,Moderate
151,I25.10.151,Atherosclerotic heart disease of native coronary artery (Variant #151),Cardiovascular,Severe
152,K21.9.152,Gastro-esophageal reflux disease without esophagitis (Variant #152),Gastrointestinal,Mild
153,J06.9.153,"Acute upper respiratory infection, unspecified (Variant #153)",Respiratory,Mild
154,M17.11.154,"Unspecified primary osteoarthritis, right knee (Variant #154)",Musculoskeletal,Moderate
155,N39.0.155,"Urinary tract infection, site not specified (Variant #155)",Urological,Moderate
156,E78.5.156,"Hyperlipidemia, unspecified (Variant #156)",Endocrine,Mild
157,F41.1.157,Generalized anxiety disorder (Variant #157),Mental Health,Moderate
158,N39.0.158,"Urinary tract infection, site not specified (Variant #158)",Urological,Moderate
159,K21.9.159,Gastro-esophageal reflux disease without esophagitis (Variant #159),Gastrointestinal,Mild
160,K21.9.160,Gastro-esophageal reflux disease without esophagitis (Variant #160),Gastrointestinal,Mild
161,M54.5.161,"Low back pain, unspecified (Variant #161)",Musculoskeletal,Mild
162,R07.9.162,"Chest pain, unspecified (Variant #162)",Cardiovascular,Severe
163,R07.9.163,"Chest pain, unspecified (Variant #163)",Cardiovascular,Severe
164,J45.909.164,"Unspecified asthma, uncomplicated (Variant #164)",Respiratory,Moderate
165,F41.1.165,Generalized anxiety disorder (Variant #165),Mental Health,Moderate
166,N39.0.166,"Urinary tract infection, site not specified (Variant #166)",Urological,Moderate
167,I25.10.167,Atherosclerotic heart disease of native coronary artery (Variant #167),Cardiovascular,Severe
168,C34.90.168,Malignant neoplasm of unspecified part of bronchus or lung (Variant #168),Oncology,Critical
169,E11.9.169,Type 2 diabetes mellitus without complications (Variant #169),Endocrine,Moderate
170,G40.909.170,"Epilepsy, unspecified, not intractable (Variant #170)",Neurology,Severe
171,M54.5.171,"Low back pain, unspecified (Variant #171)",Musculoskeletal,Mild
172,F41.1.172,Generalized anxiety disorder (Variant #172),Mental Health,Moderate
173,K21.9.173,Gastro-esophageal reflux disease without esophagitis (Variant #173),Gastrointestinal,Mild
174,R07.9.174,"Chest pain, unspecified (Variant #174)",Cardiovascular,Severe
175,R07.9.175,"Chest pain, unspecified (Variant #175)",Cardiovascular,Severe
176,J06.9.176,"Acute upper respiratory infection, unspecified (Variant #176)",Respiratory,Mild
177,R07.9.177,"Chest pain, unspecified (Variant #177)",Cardiovascular,Severe
178,K21.9.178,Gastro-esophageal reflux disease without esophagitis (Variant #178),Gastrointestinal,Mild
179,K21.9.179,Gastro-esophageal reflux disease without esophagitis (Variant #179),Gastrointestinal,Mild
180,J18.9.180,"Pneumonia, unspecified organism (Variant #180)",Respiratory,Severe
181,I25.10.181,Atherosclerotic heart disease of native coronary artery (Variant #181),Cardiovascular,Severe
182,E78.5.182,"Hyperlipidemia, unspecified (Variant #182)",Endocrine,Mild
183,F41.1.183,Generalized anxiety disorder (Variant #183),Mental Health,Moderate
184,M54.5.184,"Low back pain, unspecified (Variant #184)",Musculoskeletal,Mild
185,N39.0.185,"Urinary tract infection, site not specified (Variant #185)",Urological,Moderate
186,K21.9.186,Gastro-esophageal reflux disease without esophagitis (Variant #186),Gastrointestinal,Mild
187,J06.9.187,"Acute upper respiratory infection, unspecified (Variant #187)",Respiratory,Mild
188,F41.1.188,Generalized anxiety disorder (Variant #188),Mental Health,Moderate
189,F41.1.189,Generalized anxiety disorder (Variant #189),Mental Health,Moderate
190,E11.9.190,Type 2 diabetes mellitus without complications (Variant #190),Endocrine,Moderate
191,R07.9.191,"Chest pain, unspecified (Variant #191)",Cardiovascular,Severe
192,I10.192,Essential (primary) hypertension (Variant #192),Cardiovascular,Mild
193,I25.10.193,Atherosclerotic heart disease of native coronary artery (Variant #193),Cardiovascular,Severe
194,G40.909.194,"Epilepsy, unspecified, not intractable (Variant #194)",Neurology,Severe
195,E78.5.195,"Hyperlipidemia, unspecified (Variant #195)",Endocrine,Mild
196,I25.10.196,Atherosclerotic heart disease of native coronary artery (Variant #196),Cardiovascular,Severe
197,E78.5.197,"Hyperlipidemia, unspecified (Variant #197)",Endocrine,Mild
198,R07.9.198,"Chest pain, unspecified (Variant #198)",Cardiovascular,Severe
199,G40.909.199,"Epilepsy, unspecified, not intractable (Variant #199)",Neurology,Severe
200,I25.10.200,Atherosclerotic heart disease of native coronary artery (Variant #200),Cardiovascular,Severe
201,N39.0.201,"Urinary tract infection, site not specified (Variant #201)",Urological,Moderate
202,J06.9.202,"Acute upper respiratory infection, unspecified (Variant #202)",Respiratory,Mild
203,I10.203,Essential (primary) hypertension (Variant #203),Cardiovascular,Mild
204,M54.5.204,"Low back pain, unspecified (Variant #204)",Musculoskeletal,Mild
205,K21.9.205,Gastro-esophageal reflux disease without esophagitis (Variant #205),Gastrointestinal,Mild
206,M54.5.206,"Low back pain, unspecified (Variant #206)",Musculoskeletal,Mild
207,F41.1.207,Generalized anxiety disorder (Variant #207),Mental Health,Moderate
208,E78.5.208,"Hyperlipidemia, unspecified (Variant #208)",Endocrine,Mild
209,K21.9.209,Gastro-esophageal reflux disease without esophagitis (Variant #209),Gastrointestinal,Mild
210,C34.90.210,Malignant neoplasm of unspecified part of bronchus or lung (Variant #210),Oncology,Critical
211,M54.5.211,"Low back pain, unspecified (Variant #211)",Musculoskeletal,Mild
212,F41.1.212,Generalized anxiety disorder (Variant #212),Mental Health,Moderate
213,M54.5.213,"Low back pain, unspecified (Variant #213)",Musculoskeletal,Mild
214,R07.9.214,"Chest pain, unspecified (Variant #214)",Cardiovascular,Severe
215,N39.0.215,"Urinary tract infection, site not specified (Variant #215)",Urological,Moderate
216,J18.9.216,"Pneumonia, unspecified organism (Variant #216)",Respiratory,Severe
217,J45.909.217,"Unspecified asthma, uncomplicated (Variant #217)",Respiratory,Moderate
218,J45.909.218,"Unspecified asthma, uncomplicated (Variant #218)",Respiratory,Moderate
219,K21.9.219,Gastro-esophageal reflux disease without esophagitis (Variant #219),Gastrointestinal,Mild
220,M17.11.220,"Unspecified primary osteoarthritis, right knee (Variant #220)",Musculoskeletal,Moderate
221,E78.5.221,"Hyperlipidemia, unspecified (Variant #221)",Endocrine,Mild
222,E11.9.222,Type 2 diabetes mellitus without complications (Variant #222),Endocrine,Moderate
223,K21.9.223,Gastro-esophageal reflux disease without esophagitis (Variant #223),Gastrointestinal,Mild
224,M54.5.224,"Low back pain, unspecified (Variant #224)",Musculoskeletal,Mild
225,I25.10.225,Atherosclerotic heart disease of native coronary artery (Variant #225),Cardiovascular,Severe
226,N39.0.226,"Urinary tract infection, site not specified (Variant #226)",Urological,Moderate
227,C34.90.227,Malignant neoplasm of unspecified part of bronchus or lung (Variant #227),Oncology,Critical
228,I10.228,Essential (primary) hypertension (Variant #228),Cardiovascular,Mild
229,I25.10.229,Atherosclerotic heart disease of native coronary artery (Variant #229),Cardiovascular,Severe
230,J06.9.230,"Acute upper respiratory infection, unspecified (Variant #230)",Respiratory,Mild
231,M54.5.231,"Low back pain, unspecified (Variant #231)",Musculoskeletal,Mild
232,I10.232,Essential (primary) hypertension (Variant #232),Cardiovascular,Mild
233,M54.5.233,"Low back pain, unspecified (Variant #233)",Musculoskeletal,Mild
234,I25.10.234,Atherosclerotic heart disease of native coronary artery (Variant #234),Cardiovascular,Severe
235,J45.909.235,"Unspecified asthma, uncomplicated (Variant #235)",Respiratory,Moderate
236,K21.9.236,Gastro-esophageal reflux disease without esophagitis (Variant #236),Gastrointestinal,Mild
237,J18.9.237,"Pneumonia, unspecified organism (Variant #237)",Respiratory,Severe
238,I10.238,Essential (primary) hypertension (Variant #238),Cardiovascular,Mild
239,R07.9.239,"Chest pain, unspecified (Variant #239)",Cardiovascular,Severe
240,K21.9.240,Gastro-esophageal reflux disease without esophagitis (Variant #240),Gastrointestinal,Mild
241,K21.9.241,Gastro-esophageal reflux disease without esophagitis (Variant #241),Gastrointestinal,Mild
242,I10.242,Essential (primary) hypertension (Variant #242),Cardiovascular,Mild
243,E11.9.243,Type 2 diabetes mellitus without complications (Variant #243),Endocrine,Moderate
244,N39.0.244,"Urinary tract infection, site not specified (Variant #244)",Urological,Moderate
245,K21.9.245,Gastro-esophageal reflux disease without esophagitis (Variant #245),Gastrointestinal,Mild
246,E11.9.246,Type 2 diabetes mellitus without complications (Variant #246),Endocrine,Moderate
247,G40.909.247,"Epilepsy, unspecified, not intractable (Variant #247)",Neurology,Severe
248,J18.9.248,"Pneumonia, unspecified organism (Variant #248)",Respiratory,Severe
249,G40.909.249,"Epilepsy, unspecified, not intractable (Variant #249)",Neurology,Severe
250,C34.90.250,Malignant neoplasm of unspecified part of bronchus or lung (Variant #250),Oncology,Critical
251,E11.9.251,Type 2 diabetes mellitus without complications (Variant #251),Endocrine,Moderate
252,I10.252,Essential (primary) hypertension (Variant #252),Cardiovascular,Mild
253,C34.90.253,Malignant neoplasm of unspecified part of bronchus or lung (Variant #253),Oncology,Critical
254,E78.5.254,"Hyperlipidemia, unspecified (Variant #254)",Endocrine,Mild
255,J06.9.255,"Acute upper respiratory infection, unspecified (Variant #255)",Respiratory,Mild
256,C34.90.256,Malignant neoplasm of unspecified part of bronchus or lung (Variant #256),Oncology,Critical
257,J45.909.257,"Unspecified asthma, uncomplicated (Variant #257)",Respiratory,Moderate
258,M54.5.258,"Low back pain, unspecified (Variant #258)",Musculoskeletal,Mild
259,R07.9.259,"Chest pain, unspecified (Variant #259)",Cardiovascular,Severe
260,I10.260,Essential (primary) hypertension (Variant #260),Cardiovascular,Mild
261,E11.9.261,Type 2 diabetes mellitus without complications (Variant #261),Endocrine,Moderate
262,J45.909.262,"Unspecified asthma, uncomplicated (Variant #262)",Respiratory,Moderate
263,I10.263,Essential (primary) hypertension (Variant #263),Cardiovascular,Mild
264,M17.11.264,"Unspecified primary osteoarthritis, right knee (Variant #264)",Musculoskeletal,Moderate
265,R07.9.265,"Chest pain, unspecified (Variant #265)",Cardiovascular,Severe
266,E11.9.266,Type 2 diabetes mellitus without complications (Variant #266),Endocrine,Moderate
267,M54.5.267,"Low back pain, unspecified (Variant #267)",Musculoskeletal,Mild
268,J18.9.268,"Pneumonia, unspecified organism (Variant #268)",Respiratory,Severe
269,K21.9.269,Gastro-esophageal reflux disease without esophagitis (Variant #269),Gastrointestinal,Mild
270,G40.909.270,"Epilepsy, unspecified, not intractable (Variant #270)",Neurology,Severe
271,C34.90.271,Malignant neoplasm of unspecified part of bronchus or lung (Variant #271),Oncology,Critical
272,F41.1.272,Generalized anxiety disorder (Variant #272),Mental Health,Moderate
273,I10.273,Essential (primary) hypertension (Variant #273),Cardiovascular,Mild
274,N39.0.274,"Urinary tract infection, site not specified (Variant #274)",Urological,Moderate
275,K21.9.275,Gastro-esophageal reflux disease without esophagitis (Variant #275),Gastrointestinal,Mild
276,K21.9.276,Gastro-esophageal reflux disease without esophagitis (Variant #276),Gastrointestinal,Mild
277,I25.10.277,Atherosclerotic heart disease of native coronary artery (Variant #277),Cardiovascular,Severe
278,I25.10.278,Atherosclerotic heart disease of native coronary artery (Variant #278),Cardiovascular,Severe
279,C34.90.279,Malignant neoplasm of unspecified part of bronchus or lung (Variant #279),Oncology,Critical
280,N39.0.280,"Urinary tract infection, site not specified (Variant #280)",Urological,Moderate
281,C34.90.281,Malignant neoplasm of unspecified part of bronchus or lung (Variant #281),Oncology,Critical
282,N39.0.282,"Urinary tract infection, site not specified (Variant #282)",Urological,Moderate
283,C34.90.283,Malignant neoplasm of unspecified part of bronchus or lung (Variant #283),Oncology,Critical
284,M54.5.284,"Low back pain, unspecified (Variant #284)",Musculoskeletal,Mild
285,M54.5.285,"Low back pain, unspecified (Variant #285)",Musculoskeletal,Mild
286,K21.9.286,Gastro-esophageal reflux disease without esophagitis (Variant #286),Gastrointestinal,Mild
287,K21.9.287,Gastro-esophageal reflux disease without esophagitis (Variant #287),Gastrointestinal,Mild
288,E78.5.288,"Hyperlipidemia, unspecified (Variant #288)",Endocrine,Mild
289,M54.5.289,"Low back pain, unspecified (Variant #289)",Musculoskeletal,Mild
290,C34.90.290,Malignant neoplasm of unspecified part of bronchus or lung (Variant #290),Oncology,Critical
291,J45.909.291,"Unspecified asthma, uncomplicated (Variant #291)",Respiratory,Moderate
292,M54.5.292,"Low back pain, unspecified (Variant #292)",Musculoskeletal,Mild
293,M17.11.293,"Unspecified primary osteoarthritis, right knee (Variant #293)",Musculoskeletal,Moderate
294,F41.1.294,Generalized anxiety disorder (Variant #294),Mental Health,Moderate
295,I25.10.295,Atherosclerotic heart disease of native coronary artery (Variant #295),Cardiovascular,Severe
296,F41.1.296,Generalized anxiety disorder (Variant #296),Mental Health,Moderate
297,G40.909.297,"Epilepsy, unspecified, not intractable (Variant #297)",Neurology,Severe
298,M54.5.298,"Low back pain, unspecified (Variant #298)",Musculoskeletal,Mild
299,J06.9.299,"Acute upper respiratory infection, unspecified (Variant #299)",Respiratory,Mild
300,J45.909.300,"Unspecified asthma, uncomplicated (Variant #300)",Respiratory,Moderate
301,J18.9.301,"Pneumonia, unspecified organism (Variant #301)",Respiratory,Severe
302,I10.302,Essential (primary) hypertension (Variant #302),Cardiovascular,Mild
303,K21.9.303,Gastro-esophageal reflux disease without esophagitis (Variant #303),Gastrointestinal,Mild
304,J18.9.304,"Pneumonia, unspecified organism (Variant #304)",Respiratory,Severe
305,I25.10.305,Atherosclerotic heart disease of native coronary artery (Variant #305),Cardiovascular,Severe
306,K21.9.306,Gastro-esophageal reflux disease without esophagitis (Variant #306),Gastrointestinal,Mild
307,C34.90.307,Malignant neoplasm of unspecified part of bronchus or lung (Variant #307),Oncology,Critical
308,K21.9.308,Gastro-esophageal reflux disease without esophagitis (Variant #308),Gastrointestinal,Mild
309,M54.5.309,"Low back pain, unspecified (Variant #309)",Musculoskeletal,Mild
310,I25.10.310,Atherosclerotic heart disease of native coronary artery (Variant #310),Cardiovascular,Severe
311,E11.9.311,Type 2 diabetes mellitus without complications (Variant #311),Endocrine,Moderate
312,J45.909.312,"Unspecified asthma, uncomplicated (Variant #312)",Respiratory,Moderate
313,F41.1.313,Generalized anxiety disorder (Variant #313),Mental Health,Moderate
314,G40.909.314,"Epilepsy, unspecified, not intractable (Variant #314)",Neurology,Severe
315,M17.11.315,"Unspecified primary osteoarthritis, right knee (Variant #315)",Musculoskeletal,Moderate
316,N39.0.316,"Urinary tract infection, site not specified (Variant #316)",Urological,Moderate
317,K21.9.317,Gastro-esophageal reflux disease without esophagitis (Variant #317),Gastrointestinal,Mild
318,G40.909.318,"Epilepsy, unspecified, not intractable (Variant #318)",Neurology,Severe
319,J18.9.319,"Pneumonia, unspecified organism (Variant #319)",Respiratory,Severe
320,M54.5.320,"Low back pain, unspecified (Variant #320)",Musculoskeletal,Mild
321,N39.0.321,"Urinary tract infection, site not specified (Variant #321)",Urological,Moderate
322,E78.5.322,"Hyperlipidemia, unspecified (Variant #322)",Endocrine,Mild
323,C34.90.323,Malignant neoplasm of unspecified part of bronchus or lung (Variant #323),Oncology,Critical
324,I25.10.324,Atherosclerotic heart disease of native coronary artery (Variant #324),Cardiovascular,Severe
325,C34.90.325,Malignant neoplasm of unspecified part of bronchus or lung (Variant #325),Oncology,Critical
326,E11.9.326,Type 2 diabetes mellitus without complications (Variant #326),Endocrine,Moderate
