medication_id,ndc_code,drug_name,generic_name,dosage_form,strength,manufacturer
64,14103-710-64,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
65,42278-398-65,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
66,42377-538-66,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
67,33947-978-67,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
68,66044-391-68,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
69,18248-974-69,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
70,82290-778-70,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
71,27180-607-71,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
72,89681-831-72,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
73,81783-792-73,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
74,58183-717-74,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
75,64754-341-75,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
76,16371-112-76,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
77,74574-985-77,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
78,46990-657-78,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
79,64628-904-79,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
80,25428-763-80,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
81,98072-607-81,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
82,24706-184-82,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
83,73917-292-83,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
84,94405-462-84,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
85,49212-128-85,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
86,45854-268-86,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
87,91414-371-87,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
88,84876-244-88,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
89,71595-139-89,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
90,68668-800-90,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
91,45423-659-91,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
92,60932-890-92,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
93,81479-377-93,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
94,68681-261-94,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
95,15110-284-95,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
96,80684-640-96,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
97,93829-116-97,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
98,73828-323-98,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
99,26168-843-99,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
100,86164-815-00,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
101,83888-316-01,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
102,42325-931-02,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
103,12185-280-03,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
104,65808-372-04,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
105,96759-298-05,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
106,22248-287-06,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
107,82743-384-07,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
108,20084-156-08,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
109,89048-908-09,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
110,15325-755-10,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
111,34491-438-11,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
112,15181-792-12,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
113,26208-403-13,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
114,35391-679-14,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
115,68581-989-15,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
116,10079-128-16,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
117,92006-565-17,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
118,46657-343-18,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
119,66511-226-19,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
120,50420-428-20,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
121,13415-333-21,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
122,65531-740-22,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
123,97695-233-23,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
124,35350-903-24,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
125,77598-200-25,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
126,20733-877-26,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
127,59102-822-27,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
128,77568-931-28,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
129,28068-288-29,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
130,80813-944-30,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
131,92629-108-31,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
132,42162-297-32,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
133,36499-809-33,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
134,62806-343-34,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
135,82036-714-35,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
136,78650-834-36,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
137,63891-678-37,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
138,95350-373-38,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
139,17065-702-39,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
140,98235-907-40,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
141,87989-430-41,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
142,68321-581-42,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
143,56489-797-43,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
144,50357-810-44,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
145,99789-967-45,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
146,62097-878-46,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
147,85049-422-47,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
148,82845-649-48,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
149,24394-850-49,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
150,63486-839-50,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
151,76946-175-51,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
152,95407-391-52,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
153,35199-270-53,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
154,44426-131-54,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
155,19392-342-55,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
156,69907-131-56,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
157,97899-274-57,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
158,54251-507-58,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
159,94810-653-59,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
160,59538-975-60,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
161,52519-641-61,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
162,60286-557-62,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
163,56067-858-63,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
164,31514-186-64,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
165,27013-908-65,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
166,24537-307-66,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
167,35715-205-67,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
168,79995-683-68,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
169,52139-456-69,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
170,72308-954-70,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
171,36954-883-71,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
172,83083-813-72,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
173,32793-162-73,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
174,73557-982-74,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
175,56872-623-75,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
176,97091-141-76,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
177,23278-356-77,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
178,36719-929-78,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
179,29238-694-79,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
180,35214-797-80,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
181,93827-331-81,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
182,71972-172-82,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
183,57344-578-83,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
184,52735-263-84,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
185,68883-373-85,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
186,53873-186-86,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
187,73144-517-87,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
188,32961-858-88,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
189,66743-292-89,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
190,47173-658-90,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
191,19549-147-91,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
192,54502-885-92,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
193,62156-103-93,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
194,28815-808-94,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
195,61698-980-95,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
196,70625-139-96,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
197,50068-880-97,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
198,67410-637-98,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
199,82999-663-99,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
200,96136-342-00,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
201,99088-136-01,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
202,15764-234-02,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
203,24503-632-03,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
204,92807-625-04,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
205,13990-685-05,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
206,11394-831-06,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
207,44030-713-07,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
208,47515-139-08,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
209,98518-221-09,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
210,63992-837-10,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
211,80004-590-11,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
212,45486-367-12,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
213,30743-975-13,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
214,91698-386-14,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
215,79984-298-15,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
216,51063-685-16,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
217,34585-292-17,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
218,35038-835-18,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
219,93622-105-19,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
220,25484-308-20,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
221,54441-842-21,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
222,75253-302-22,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
223,50574-371-23,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
224,55267-647-24,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
225,20223-130-25,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
226,58185-428-26,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
227,91945-812-27,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
228,61250-883-28,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
229,29738-912-29,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
230,33646-938-30,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
231,69614-898-31,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
232,56961-301-32,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
233,57250-575-33,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
234,68413-684-34,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
235,47231-480-35,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
236,16105-217-36,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
237,85928-959-37,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
238,66999-349-38,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
239,55989-154-39,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
240,51666-128-40,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
241,35966-944-41,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
242,23166-103-42,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
243,28625-253-43,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
244,69746-352-44,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
245,22820-851-45,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
246,91975-488-46,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
247,69715-309-47,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
248,71298-985-48,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
249,57553-571-49,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
250,81769-218-50,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
251,77514-371-51,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
252,50773-799-52,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
253,67236-850-53,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
254,49848-770-54,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
255,92225-403-55,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
256,64745-819-56,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
257,33192-753-57,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
258,79673-753-58,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
259,23977-577-59,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
260,65238-384-60,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
261,92873-889-61,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
262,11922-321-62,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
263,65147-999-63,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
264,98068-102-64,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
265,70206-370-65,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
266,64714-569-66,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
267,66798-596-67,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
268,11816-708-68,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
269,41067-293-69,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
270,76561-499-70,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
271,38060-323-71,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
272,49162-747-72,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
273,49024-749-73,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
274,44548-470-74,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
275,69147-918-75,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
276,97795-947-76,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
277,24731-518-77,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
278,18807-691-78,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
279,28081-109-79,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
280,97228-933-80,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
281,26304-862-81,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
282,95384-162-82,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
283,74852-939-83,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
284,51485-743-84,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
285,77616-171-85,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
286,51227-846-86,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
287,39866-299-87,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
288,32437-318-88,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
289,19450-423-89,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
290,44082-700-90,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
291,18785-793-91,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
292,48614-368-92,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
293,63290-961-93,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
294,61518-748-94,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
295,43979-368-95,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
296,60280-261-96,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
297,32109-293-97,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
298,84162-656-98,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
299,47928-998-99,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
300,59932-296-00,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
301,64426-835-01,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
302,68375-702-02,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
303,75732-419-03,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
304,59920-155-04,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
305,74983-131-05,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
306,99733-974-06,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
307,61137-627-07,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
308,20023-466-08,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
309,62681-867-09,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
310,84106-857-10,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
311,88985-616-11,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
312,89499-426-12,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
313,65549-736-13,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
314,40795-697-14,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
315,54929-532-15,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
316,66056-573-16,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
317,97531-591-17,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
318,51131-745-18,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
319,81351-272-19,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
320,85683-124-20,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
321,54996-385-21,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
322,64747-597-22,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
323,84383-438-23,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
