diagnosis_id,icd10_code,icd10_description,category,severity_level
92,J06.9.92,"Acute upper respiratory infection, unspecified (Variant #92)",Respiratory,Mild
93,R07.9.93,"Chest pain, unspecified (Variant #93)",Cardiovascular,Severe
94,M17.11.94,"Unspecified primary osteoarthritis, right knee (Variant #94)",Musculoskeletal,Moderate
95,G40.909.95,"Epilepsy, unspecified, not intractable (Variant #95)",Neurology,Severe
96,R07.9.96,"Chest pain, unspecified (Variant #96)",Cardiovascular,Severe
97,M54.5.97,"Low back pain, unspecified (Variant #97)",Musculoskeletal,Mild
98,C34.90.98,Malignant neoplasm of unspecified part of bronchus or lung (Variant #98),Oncology,Critical
99,I25.10.99,Atherosclerotic heart disease of native coronary artery (Variant #99),Cardiovascular,Severe
100,M17.11.100,"Unspecified primary osteoarthritis, right knee (Variant #100)",Musculoskeletal,Moderate
101,C34.90.101,Malignant neoplasm of unspecified part of bronchus or lung (Variant #101),Oncology,Critical
102,C34.90.102,Malignant neoplasm of unspecified part of bronchus or lung (Variant #102),Oncology,Critical
103,C34.90.103,Malignant neoplasm of unspecified part of bronchus or lung (Variant #103),Oncology,Critical
104,J06.9.104,"Acute upper respiratory infection, unspecified (Variant #104)",Respiratory,Mild
105,F41.1.105,Generalized anxiety disorder (Variant #105),Mental Health,Moderate
106,J45.909.106,"Unspecified asthma, uncomplicated (Variant #106)",Respiratory,Moderate
107,I10.107,Essential (primary) hypertension (Variant #107),Cardiovascular,Mild
108,K21.9.108,Gastro-esophageal reflux disease without esophagitis (Variant #108),Gastrointestinal,Mild
109,F41.1.109,Generalized anxiety disorder (Variant #109),Mental Health,Moderate
110,E78.5.110,"Hyperlipidemia, unspecified (Variant #110)",Endocrine,Mild
111,N39.0.111,"Urinary tract infection, site not specified (Variant #111)",Urological,Moderate
112,N39.0.112,"Urinary tract infection, site not specified (Variant #112)",Urological,Moderate
113,E78.5.113,"Hyperlipidemia, unspecified (Variant #113)",Endocrine,Mild
114,E78.5.114,"Hyperlipidemia, unspecified (Variant #114)",Endocrine,Mild
115,N39.0.115,"Urinary tract infection, site not specified (Variant #115)",Urological,Moderate
116,F41.1.116,Generalized anxiety disorder (Variant #116),Mental Health,Moderate
117,I25.10.117,Atherosclerotic heart disease of native coronary artery (Variant #117),Cardiovascular,Severe
118,J45.909.118,"Unspecified asthma, uncomplicated (Variant #118)",Respiratory,Moderate
119,M17.11.119,"Unspecified primary osteoarthritis, right knee (Variant #119)",Musculoskeletal,Moderate
120,E78.5.120,"Hyperlipidemia, unspecified (Variant #120)",Endocrine,Mild
121,E11.9.121,Type 2 diabetes mellitus without complications (Variant #121),Endocrine,Moderate
122,N39.0.122,"Urinary tract infection, site not specified (Variant #122)",Urological,Moderate
123,I10.123,Essential (primary) hypertension (Variant #123),Cardiovascular,Mild
124,I10.124,Essential (primary) hypertension (Variant #124),Cardiovascular,Mild
125,E11.9.125,Type 2 diabetes mellitus without complications (Variant #125),Endocrine,Moderate
126,G40.909.126,"Epilepsy, unspecified, not intractable (Variant #126)",Neurology,Severe
127,N39.0.127,"Urinary tract infection, site not specified (Variant #127)",Urological,Moderate
128,M54.5.128,"Low back pain, unspecified (Variant #128)",Musculoskeletal,Mild
129,G40.909.129,"Epilepsy, unspecified, not intractable (Variant #129)",Neurology,Severe
130,J45.909.130,"Unspecified asthma, uncomplicated (Variant #130)",Respiratory,Moderate
131,G40.909.131,"Epilepsy, unspecified, not intractable (Variant #131)",Neurology,Severe
132,J06.9.132,"Acute upper respiratory infection, unspecified (Variant #132)",Respiratory,Mild
133,R07.9.133,"Chest pain, unspecified (Variant #133)",Cardiovascular,Severe
134,K21.9.134,Gastro-esophageal reflux disease without esophagitis (Variant #134),Gastrointestinal,Mild
135,I25.10.135,Atherosclerotic heart disease of native coronary artery (Variant #135),Cardiovascular,Severe
136,K21.9.136,Gastro-esophageal reflux disease without esophagitis (Variant #136),Gastrointestinal,Mild
137,K21.9.137,Gastro-esophageal reflux disease without esophagitis (Variant #137),Gastrointestinal,Mild
138,I10.138,Essential (primary) hypertension (Variant #138),Cardiovascular,Mild
139,I10.139,Essential (primary) hypertension (Variant #139),Cardiovascular,Mild
140,J45.909.140,"Unspecified asthma, uncomplicated (Variant #140)",Respiratory,Moderate
141,G40.909.141,"Epilepsy, unspecified, not intractable (Variant #141)",Neurology,Severe
142,R07.9.142,"Chest pain, unspecified (Variant #142)",Cardiovascular,Severe
143,E11.9.143,Type 2 diabetes mellitus without complications (Variant #143),Endocrine,Moderate
144,M17.11.144,"Unspecified primary osteoarthritis, right knee (Variant #144)",Musculoskeletal,Moderate
145,M54.5.145,"Low back pain, unspecified (Variant #145)",Musculoskeletal,Mild
146,M54.5.146,"Low back pain, unspecified (Variant #146)",Musculoskeletal,Mild
147,J06.9.147,"Acute upper respiratory infection, unspecified (Variant #147)",Respiratory,Mild
148,J06.9.148,"Acute upper respiratory infection, unspecified (Variant #148)",Respiratory,Mild
149,J18.9.149,"Pneumonia, unspecified organism (Variant #149)",Respiratory,Severe
150,E11.9.150,Type 2 diabetes mellitus without complications (Variant #150),Endocrine,Moderate
151,M17.11.151,"Unspecified primary osteoarthritis, right knee (Variant #151)",Musculoskeletal,Moderate
152,M54.5.152,"Low back pain, unspecified (Variant #152)",Musculoskeletal,Mild
153,R07.9.153,"Chest pain, unspecified (Variant #153)",Cardiovascular,Severe
154,M17.11.154,"Unspecified primary osteoarthritis, right knee (Variant #154)",Musculoskeletal,Moderate
155,K21.9.155,Gastro-esophageal reflux disease without esophagitis (Variant #155),Gastrointestinal,Mild
156,I25.10.156,Atherosclerotic heart disease of native coronary artery (Variant #156),Cardiovascular,Severe
157,J45.909.157,"Unspecified asthma, uncomplicated (Variant #157)",Respiratory,Moderate
158,M17.11.158,"Unspecified primary osteoarthritis, right knee (Variant #158)",Musculoskeletal,Moderate
159,J18.9.159,"Pneumonia, unspecified organism (Variant #159)",Respiratory,Severe
160,I25.10.160,Atherosclerotic heart disease of native coronary artery (Variant #160),Cardiovascular,Severe
161,E11.9.161,Type 2 diabetes mellitus without complications (Variant #161),Endocrine,Moderate
162,G40.909.162,"Epilepsy, unspecified, not intractable (Variant #162)",Neurology,Severe
163,J45.909.163,"Unspecified asthma, uncomplicated (Variant #163)",Respiratory,Moderate
164,G40.909.164,"Epilepsy, unspecified, not intractable (Variant #164)",Neurology,Severe
165,N39.0.165,"Urinary tract infection, site not specified (Variant #165)",Urological,Moderate
166,M54.5.166,"Low back pain, unspecified (Variant #166)",Musculoskeletal,Mild
167,C34.90.167,Malignant neoplasm of unspecified part of bronchus or lung (Variant #167),Oncology,Critical
168,C34.90.168,Malignant neoplasm of unspecified part of bronchus or lung (Variant #168),Oncology,Critical
169,R07.9.169,"Chest pain, unspecified (Variant #169)",Cardiovascular,Severe
170,N39.0.170,"Urinary tract infection, site not specified (Variant #170)",Urological,Moderate
171,E78.5.171,"Hyperlipidemia, unspecified (Variant #171)",Endocrine,Mild
172,K21.9.172,Gastro-esophageal reflux disease without esophagitis (Variant #172),Gastrointestinal,Mild
173,K21.9.173,Gastro-esophageal reflux disease without esophagitis (Variant #173),Gastrointestinal,Mild
174,E78.5.174,"Hyperlipidemia, unspecified (Variant #174)",Endocrine,Mild
175,G40.909.175,"Epilepsy, unspecified, not intractable (Variant #175)",Neurology,Severe
176,J06.9.176,"Acute upper respiratory infection, unspecified (Variant #176)",Respiratory,Mild
177,F41.1.177,Generalized anxiety disorder (Variant #177),Mental Health,Moderate
178,J06.9.178,"Acute upper respiratory infection, unspecified (Variant #178)",Respiratory,Mild
179,K21.9.179,Gastro-esophageal reflux disease without esophagitis (Variant #179),Gastrointestinal,Mild
180,M54.5.180,"Low back pain, unspecified (Variant #180)",Musculoskeletal,Mild
181,F41.1.181,Generalized anxiety disorder (Variant #181),Mental Health,Moderate
182,E11.9.182,Type 2 diabetes mellitus without complications (Variant #182),Endocrine,Moderate
183,E78.5.183,"Hyperlipidemia, unspecified (Variant #183)",Endocrine,Mild
184,E78.5.184,"Hyperlipidemia, unspecified (Variant #184)",Endocrine,Mild
185,E11.9.185,Type 2 diabetes mellitus without complications (Variant #185),Endocrine,Moderate
186,I25.10.186,Atherosclerotic heart disease of native coronary artery (Variant #186),Cardiovascular,Severe
187,K21.9.187,Gastro-esophageal reflux disease without esophagitis (Variant #187),Gastrointestinal,Mild
188,J06.9.188,"Acute upper respiratory infection, unspecified (Variant #188)",Respiratory,Mild
189,M54.5.189,"Low back pain, unspecified (Variant #189)",Musculoskeletal,Mild
190,I10.190,Essential (primary) hypertension (Variant #190),Cardiovascular,Mild
191,E78.5.191,"Hyperlipidemia, unspecified (Variant #191)",Endocrine,Mild
192,R07.9.192,"Chest pain, unspecified (Variant #192)",Cardiovascular,Severe
193,I25.10.193,Atherosclerotic heart disease of native coronary artery (Variant #193),Cardiovascular,Severe
194,E78.5.194,"Hyperlipidemia, unspecified (Variant #194)",Endocrine,Mild
195,J06.9.195,"Acute upper respiratory infection, unspecified (Variant #195)",Respiratory,Mild
196,F41.1.196,Generalized anxiety disorder (Variant #196),Mental Health,Moderate
197,M54.5.197,"Low back pain, unspecified (Variant #197)",Musculoskeletal,Mild
198,R07.9.198,"Chest pain, unspecified (Variant #198)",Cardiovascular,Severe
199,E78.5.199,"Hyperlipidemia, unspecified (Variant #199)",Endocrine,Mild
200,E78.5.200,"Hyperlipidemia, unspecified (Variant #200)",Endocrine,Mild
201,C34.90.201,Malignant neoplasm of unspecified part of bronchus or lung (Variant #201),Oncology,Critical
202,G40.909.202,"Epilepsy, unspecified, not intractable (Variant #202)",Neurology,Severe
203,M17.11.203,"Unspecified primary osteoarthritis, right knee (Variant #203)",Musculoskeletal,Moderate
204,I10.204,Essential (primary) hypertension (Variant #204),Cardiovascular,Mild
205,I25.10.205,Atherosclerotic heart disease of native coronary artery (Variant #205),Cardiovascular,Severe
206,N39.0.206,"Urinary tract infection, site not specified (Variant #206)",Urological,Moderate
207,G40.909.207,"Epilepsy, unspecified, not intractable (Variant #207)",Neurology,Severe
208,E11.9.208,Type 2 diabetes mellitus without complications (Variant #208),Endocrine,Moderate
209,I10.209,Essential (primary) hypertension (Variant #209),Cardiovascular,Mild
210,N39.0.210,"Urinary tract infection, site not specified (Variant #210)",Urological,Moderate
211,F41.1.211,Generalized anxiety disorder (Variant #211),Mental Health,Moderate
212,I25.10.212,Atherosclerotic heart disease of native coronary artery (Variant #212),Cardiovascular,Severe
213,F41.1.213,Generalized anxiety disorder (Variant #213),Mental Health,Moderate
214,F41.1.214,Generalized anxiety disorder (Variant #214),Mental Health,Moderate
215,I10.215,Essential (primary) hypertension (Variant #215),Cardiovascular,Mild
216,J18.9.216,"Pneumonia, unspecified organism (Variant #216)",Respiratory,Severe
217,N39.0.217,"Urinary tract infection, site not specified (Variant #217)",Urological,Moderate
218,I25.10.218,Atherosclerotic heart disease of native coronary artery (Variant #218),Cardiovascular,Severe
219,I10.219,Essential (primary) hypertension (Variant #219),Cardiovascular,Mild
220,I10.220,Essential (primary) hypertension (Variant #220),Cardiovascular,Mild
221,J18.9.221,"Pneumonia, unspecified organism (Variant #221)",Respiratory,Severe
222,M17.11.222,"Unspecified primary osteoarthritis, right knee (Variant #222)",Musculoskeletal,Moderate
223,E11.9.223,Type 2 diabetes mellitus without complications (Variant #223),Endocrine,Moderate
224,J06.9.224,"Acute upper respiratory infection, unspecified (Variant #224)",Respiratory,Mild
225,C34.90.225,Malignant neoplasm of unspecified part of bronchus or lung (Variant #225),Oncology,Critical
226,I10.226,Essential (primary) hypertension (Variant #226),Cardiovascular,Mild
227,G40.909.227,"Epilepsy, unspecified, not intractable (Variant #227)",Neurology,Severe
228,G40.909.228,"Epilepsy, unspecified, not intractable (Variant #228)",Neurology,Severe
229,I10.229,Essential (primary) hypertension (Variant #229),Cardiovascular,Mild
230,F41.1.230,Generalized anxiety disorder (Variant #230),Mental Health,Moderate
231,E78.5.231,"Hyperlipidemia, unspecified (Variant #231)",Endocrine,Mild
232,C34.90.232,Malignant neoplasm of unspecified part of bronchus or lung (Variant #232),Oncology,Critical
233,J45.909.233,"Unspecified asthma, uncomplicated (Variant #233)",Respiratory,Moderate
234,R07.9.234,"Chest pain, unspecified (Variant #234)",Cardiovascular,Severe
235,F41.1.235,Generalized anxiety disorder (Variant #235),Mental Health,Moderate
236,J45.909.236,"Unspecified asthma, uncomplicated (Variant #236)",Respiratory,Moderate
237,I25.10.237,Atherosclerotic heart disease of native coronary artery (Variant #237),Cardiovascular,Severe
238,E11.9.238,Type 2 diabetes mellitus without complications (Variant #238),Endocrine,Moderate
239,E11.9.239,Type 2 diabetes mellitus without complications (Variant #239),Endocrine,Moderate
240,K21.9.240,Gastro-esophageal reflux disease without esophagitis (Variant #240),Gastrointestinal,Mild
241,E78.5.241,"Hyperlipidemia, unspecified (Variant #241)",Endocrine,Mild
242,F41.1.242,Generalized anxiety disorder (Variant #242),Mental Health,Moderate
243,M17.11.243,"Unspecified primary osteoarthritis, right knee (Variant #243)",Musculoskeletal,Moderate
244,M17.11.244,"Unspecified primary osteoarthritis, right knee (Variant #244)",Musculoskeletal,Moderate
245,C34.90.245,Malignant neoplasm of unspecified part of bronchus or lung (Variant #245),Oncology,Critical
246,G40.909.246,"Epilepsy, unspecified, not intractable (Variant #246)",Neurology,Severe
247,M54.5.247,"Low back pain, unspecified (Variant #247)",Musculoskeletal,Mild
248,J06.9.248,"Acute upper respiratory infection, unspecified (Variant #248)",Respiratory,Mild
249,M54.5.249,"Low back pain, unspecified (Variant #249)",Musculoskeletal,Mild
250,R07.9.250,"Chest pain, unspecified (Variant #250)",Cardiovascular,Severe
251,C34.90.251,Malignant neoplasm of unspecified part of bronchus or lung (Variant #251),Oncology,Critical
252,C34.90.252,Malignant neoplasm of unspecified part of bronchus or lung (Variant #252),Oncology,Critical
253,C34.90.253,Malignant neoplasm of unspecified part of bronchus or lung (Variant #253),Oncology,Critical
254,F41.1.254,Generalized anxiety disorder (Variant #254),Mental Health,Moderate
255,J06.9.255,"Acute upper respiratory infection, unspecified (Variant #255)",Respiratory,Mild
256,R07.9.256,"Chest pain, unspecified (Variant #256)",Cardiovascular,Severe
257,E78.5.257,"Hyperlipidemia, unspecified (Variant #257)",Endocrine,Mild
258,F41.1.258,Generalized anxiety disorder (Variant #258),Mental Health,Moderate
259,R07.9.259,"Chest pain, unspecified (Variant #259)",Cardiovascular,Severe
260,G40.909.260,"Epilepsy, unspecified, not intractable (Variant #260)",Neurology,Severe
261,K21.9.261,Gastro-esophageal reflux disease without esophagitis (Variant #261),Gastrointestinal,Mild
262,G40.909.262,"Epilepsy, unspecified, not intractable (Variant #262)",Neurology,Severe
263,N39.0.263,"Urinary tract infection, site not specified (Variant #263)",Urological,Moderate
264,F41.1.264,Generalized anxiety disorder (Variant #264),Mental Health,Moderate
265,I25.10.265,Atherosclerotic heart disease of native coronary artery (Variant #265),Cardiovascular,Severe
266,G40.909.266,"Epilepsy, unspecified, not intractable (Variant #266)",Neurology,Severe
267,N39.0.267,"Urinary tract infection, site not specified (Variant #267)",Urological,Moderate
268,J18.9.268,"Pneumonia, unspecified organism (Variant #268)",Respiratory,Severe
269,R07.9.269,"Chest pain, unspecified (Variant #269)",Cardiovascular,Severe
270,I10.270,Essential (primary) hypertension (Variant #270),Cardiovascular,Mild
271,J45.909.271,"Unspecified asthma, uncomplicated (Variant #271)",Respiratory,Moderate
272,J18.9.272,"Pneumonia, unspecified organism (Variant #272)",Respiratory,Severe
273,I10.273,Essential (primary) hypertension (Variant #273),Cardiovascular,Mild
274,R07.9.274,"Chest pain, unspecified (Variant #274)",Cardiovascular,Severe
275,M17.11.275,"Unspecified primary osteoarthritis, right knee (Variant #275)",Musculoskeletal,Moderate
276,F41.1.276,Generalized anxiety disorder (Variant #276),Mental Health,Moderate
277,E78.5.277,"Hyperlipidemia, unspecified (Variant #277)",Endocrine,Mild
278,M17.11.278,"Unspecified primary osteoarthritis, right knee (Variant #278)",Musculoskeletal,Moderate
279,M54.5.279,"Low back pain, unspecified (Variant #279)",Musculoskeletal,Mild
280,K21.9.280,Gastro-esophageal reflux disease without esophagitis (Variant #280),Gastrointestinal,Mild
281,R07.9.281,"Chest pain, unspecified (Variant #281)",Cardiovascular,Severe
282,G40.909.282,"Epilepsy, unspecified, not intractable (Variant #282)",Neurology,Severe
283,G40.909.283,"Epilepsy, unspecified, not intractable (Variant #283)",Neurology,Severe
284,F41.1.284,Generalized anxiety disorder (Variant #284),Mental Health,Moderate
285,N39.0.285,"Urinary tract infection, site not specified (Variant #285)",Urological,Moderate
286,J18.9.286,"Pneumonia, unspecified organism (Variant #286)",Respiratory,Severe
287,E11.9.287,Type 2 diabetes mellitus without complications (Variant #287),Endocrine,Moderate
288,J45.909.288,"Unspecified asthma, uncomplicated (Variant #288)",Respiratory,Moderate
289,J06.9.289,"Acute upper respiratory infection, unspecified (Variant #289)",Respiratory,Mild
290,J06.9.290,"Acute upper respiratory infection, unspecified (Variant #290)",Respiratory,Mild
291,C34.90.291,Malignant neoplasm of unspecified part of bronchus or lung (Variant #291),Oncology,Critical
292,M17.11.292,"Unspecified primary osteoarthritis, right knee (Variant #292)",Musculoskeletal,Moderate
293,E11.9.293,Type 2 diabetes mellitus without complications (Variant #293),Endocrine,Moderate
294,M54.5.294,"Low back pain, unspecified (Variant #294)",Musculoskeletal,Mild
295,R07.9.295,"Chest pain, unspecified (Variant #295)",Cardiovascular,Severe
296,F41.1.296,Generalized anxiety disorder (Variant #296),Mental Health,Moderate
297,I10.297,Essential (primary) hypertension (Variant #297),Cardiovascular,Mild
298,K21.9.298,Gastro-esophageal reflux disease without esophagitis (Variant #298),Gastrointestinal,Mild
299,I10.299,Essential (primary) hypertension (Variant #299),Cardiovascular,Mild
300,I25.10.300,Atherosclerotic heart disease of native coronary artery (Variant #300),Cardiovascular,Severe
301,N39.0.301,"Urinary tract infection, site not specified (Variant #301)",Urological,Moderate
302,I10.302,Essential (primary) hypertension (Variant #302),Cardiovascular,Mild
303,M17.11.303,"Unspecified primary osteoarthritis, right knee (Variant #303)",Musculoskeletal,Moderate
304,R07.9.304,"Chest pain, unspecified (Variant #304)",Cardiovascular,Severe
305,F41.1.305,Generalized anxiety disorder (Variant #305),Mental Health,Moderate
306,N39.0.306,"Urinary tract infection, site not specified (Variant #306)",Urological,Moderate
307,E78.5.307,"Hyperlipidemia, unspecified (Variant #307)",Endocrine,Mild
308,F41.1.308,Generalized anxiety disorder (Variant #308),Mental Health,Moderate
309,I25.10.309,Atherosclerotic heart disease of native coronary artery (Variant #309),Cardiovascular,Severe
310,K21.9.310,Gastro-esophageal reflux disease without esophagitis (Variant #310),Gastrointestinal,Mild
311,E78.5.311,"Hyperlipidemia, unspecified (Variant #311)",Endocrine,Mild
312,J06.9.312,"Acute upper respiratory infection, unspecified (Variant #312)",Respiratory,Mild
313,J18.9.313,"Pneumonia, unspecified organism (Variant #313)",Respiratory,Severe
314,F41.1.314,Generalized anxiety disorder (Variant #314),Mental Health,Moderate
315,E78.5.315,"Hyperlipidemia, unspecified (Variant #315)",Endocrine,Mild
316,N39.0.316,"Urinary tract infection, site not specified (Variant #316)",Urological,Moderate
317,I10.317,Essential (primary) hypertension (Variant #317),Cardiovascular,Mild
318,K21.9.318,Gastro-esophageal reflux disease without esophagitis (Variant #318),Gastrointestinal,Mild
319,J45.909.319,"Unspecified asthma, uncomplicated (Variant #319)",Respiratory,Moderate
320,R07.9.320,"Chest pain, unspecified (Variant #320)",Cardiovascular,Severe
321,E11.9.321,Type 2 diabetes mellitus without complications (Variant #321),Endocrine,Moderate
322,I10.322,Essential (primary) hypertension (Variant #322),Cardiovascular,Mild
323,M17.11.323,"Unspecified primary osteoarthritis, right knee (Variant #323)",Musculoskeletal,Moderate
324,M54.5.324,"Low back pain, unspecified (Variant #324)",Musculoskeletal,Mild
325,C34.90.325,Malignant neoplasm of unspecified part of bronchus or lung (Variant #325),Oncology,Critical
326,I25.10.326,Atherosclerotic heart disease of native coronary artery (Variant #326),Cardiovascular,Severe
327,J18.9.327,"Pneumonia, unspecified organism (Variant #327)",Respiratory,Severe
