facility_id,facility_name,facility_type,address,city,state,zip_code,bed_capacity
60,San Diego Diagnostic Center #60,Diagnostic Center,2723 Health Parkway,San Diego,CA,92101,34
61,Phoenix Specialty Clinic #61,Specialty Clinic,9062 Health Parkway,Phoenix,AZ,85001,28
62,San Antonio General Hospital #62,General Hospital,5658 Health Parkway,San Antonio,TX,78201,786
63,San Antonio Diagnostic Center #63,Diagnostic Center,6720 Health Parkway,San Antonio,TX,78201,144
64,Philadelphia Urgent Care #64,Urgent Care,5559 Health Parkway,Philadelphia,PA,19101,55
65,Denver Specialty Clinic #65,Specialty Clinic,4920 Health Parkway,Denver,CO,80201,616
66,San Antonio Urgent Care #66,Urgent Care,7129 Health Parkway,San Antonio,TX,78201,795
67,Phoenix Diagnostic Center #67,Diagnostic Center,7556 Health Parkway,Phoenix,AZ,85001,717
68,Denver General Hospital #68,General Hospital,409 Health Parkway,Denver,CO,80201,572
69,Chicago Diagnostic Center #69,Diagnostic Center,1877 Health Parkway,Chicago,IL,60601,418
70,Jacksonville General Hospital #70,General Hospital,7275 Health Parkway,Jacksonville,FL,32201,553
71,Jacksonville Urgent Care #71,Urgent Care,2928 Health Parkway,Jacksonville,FL,32201,338
72,Dallas Specialty Clinic #72,Specialty Clinic,6098 Health Parkway,Dallas,TX,75201,257
73,Denver Diagnostic Center #73,Diagnostic Center,6055 Health Parkway,Denver,CO,80201,741
74,Phoenix Specialty Clinic #74,Specialty Clinic,4558 Health Parkway,Phoenix,AZ,85001,526
75,Dallas General Hospital #75,General Hospital,8659 Health Parkway,Dallas,TX,75201,648
76,Houston Specialty Clinic #76,Specialty Clinic,1781 Health Parkway,Houston,TX,77001,70
77,Los Angeles General Hospital #77,General Hospital,2024 Health Parkway,Los Angeles,CA,90001,100
78,San Antonio Diagnostic Center #78,Diagnostic Center,7916 Health Parkway,San Antonio,TX,78201,794
79,Jacksonville Diagnostic Center #79,Diagnostic Center,798 Health Parkway,Jacksonville,FL,32201,581
80,Seattle Diagnostic Center #80,Diagnostic Center,3019 Health Parkway,Seattle,WA,98101,314
81,San Antonio Specialty Clinic #81,Specialty Clinic,8428 Health Parkway,San Antonio,TX,78201,666
82,San Antonio Specialty Clinic #82,Specialty Clinic,9446 Health Parkway,San Antonio,TX,78201,27
83,New York Urgent Care #83,Urgent Care,7382 Health Parkway,New York,NY,10001,281
84,Chicago Urgent Care #84,Urgent Care,3940 Health Parkway,Chicago,IL,60601,255
85,Dallas Specialty Clinic #85,Specialty Clinic,7535 Health Parkway,Dallas,TX,75201,629
86,Phoenix Specialty Clinic #86,Specialty Clinic,8822 Health Parkway,Phoenix,AZ,85001,33
87,New York Specialty Clinic #87,Specialty Clinic,5413 Health Parkway,New York,NY,10001,665
88,Seattle Specialty Clinic #88,Specialty Clinic,9087 Health Parkway,Seattle,WA,98101,349
89,Dallas Specialty Clinic #89,Specialty Clinic,8368 Health Parkway,Dallas,TX,75201,534
90,Phoenix General Hospital #90,General Hospital,8280 Health Parkway,Phoenix,AZ,85001,211
91,Philadelphia General Hospital #91,General Hospital,7705 Health Parkway,Philadelphia,PA,19101,223
92,Boston Diagnostic Center #92,Diagnostic Center,5992 Health Parkway,Boston,MA,02101,442
93,Houston Diagnostic Center #93,Diagnostic Center,2689 Health Parkway,Houston,TX,77001,358
94,Seattle Urgent Care #94,Urgent Care,8774 Health Parkway,Seattle,WA,98101,760
95,Austin Specialty Clinic #95,Specialty Clinic,2930 Health Parkway,Austin,TX,78701,153
96,Jacksonville Urgent Care #96,Urgent Care,8444 Health Parkway,Jacksonville,FL,32201,461
97,San Jose Specialty Clinic #97,Specialty Clinic,8105 Health Parkway,San Jose,CA,95101,707
98,Seattle Specialty Clinic #98,Specialty Clinic,5273 Health Parkway,Seattle,WA,98101,119
99,San Jose Diagnostic Center #99,Diagnostic Center,7757 Health Parkway,San Jose,CA,95101,452
100,Boston General Hospital #100,General Hospital,1355 Health Parkway,Boston,MA,02101,374
101,Denver General Hospital #101,General Hospital,465 Health Parkway,Denver,CO,80201,14
102,Dallas Diagnostic Center #102,Diagnostic Center,992 Health Parkway,Dallas,TX,75201,606
103,Phoenix General Hospital #103,General Hospital,4982 Health Parkway,Phoenix,AZ,85001,485
104,Austin Diagnostic Center #104,Diagnostic Center,9326 Health Parkway,Austin,TX,78701,277
105,San Jose General Hospital #105,General Hospital,2749 Health Parkway,San Jose,CA,95101,566
106,Austin General Hospital #106,General Hospital,2124 Health Parkway,Austin,TX,78701,195
107,Chicago Diagnostic Center #107,Diagnostic Center,6565 Health Parkway,Chicago,IL,60601,443
108,Los Angeles Diagnostic Center #108,Diagnostic Center,5004 Health Parkway,Los Angeles,CA,90001,135
109,Phoenix Diagnostic Center #109,Diagnostic Center,1492 Health Parkway,Phoenix,AZ,85001,383
110,Boston Specialty Clinic #110,Specialty Clinic,9732 Health Parkway,Boston,MA,02101,229
111,New York Specialty Clinic #111,Specialty Clinic,2791 Health Parkway,New York,NY,10001,69
112,Jacksonville Urgent Care #112,Urgent Care,6939 Health Parkway,Jacksonville,FL,32201,317
113,Austin Diagnostic Center #113,Diagnostic Center,4401 Health Parkway,Austin,TX,78701,193
114,Dallas Urgent Care #114,Urgent Care,3327 Health Parkway,Dallas,TX,75201,545
115,Seattle Specialty Clinic #115,Specialty Clinic,9323 Health Parkway,Seattle,WA,98101,683
116,San Diego Specialty Clinic #116,Specialty Clinic,5262 Health Parkway,San Diego,CA,92101,407
117,Los Angeles Diagnostic Center #117,Diagnostic Center,722 Health Parkway,Los Angeles,CA,90001,279
118,Phoenix Urgent Care #118,Urgent Care,4459 Health Parkway,Phoenix,AZ,85001,665
119,San Diego General Hospital #119,General Hospital,6722 Health Parkway,San Diego,CA,92101,798
120,San Jose General Hospital #120,General Hospital,1968 Health Parkway,San Jose,CA,95101,554
121,Houston General Hospital #121,General Hospital,829 Health Parkway,Houston,TX,77001,268
122,Phoenix Urgent Care #122,Urgent Care,2496 Health Parkway,Phoenix,AZ,85001,42
123,San Jose Urgent Care #123,Urgent Care,8371 Health Parkway,San Jose,CA,95101,365
124,Austin General Hospital #124,General Hospital,3325 Health Parkway,Austin,TX,78701,391
125,Houston Specialty Clinic #125,Specialty Clinic,6166 Health Parkway,Houston,TX,77001,696
126,San Antonio Diagnostic Center #126,Diagnostic Center,7450 Health Parkway,San Antonio,TX,78201,65
127,Denver Urgent Care #127,Urgent Care,6376 Health Parkway,Denver,CO,80201,32
128,Denver Diagnostic Center #128,Diagnostic Center,4809 Health Parkway,Denver,CO,80201,545
129,New York Urgent Care #129,Urgent Care,8765 Health Parkway,New York,NY,10001,576
130,New York Urgent Care #130,Urgent Care,2065 Health Parkway,New York,NY,10001,23
131,Seattle General Hospital #131,General Hospital,1582 Health Parkway,Seattle,WA,98101,470
132,Houston General Hospital #132,General Hospital,1551 Health Parkway,Houston,TX,77001,398
133,San Antonio Urgent Care #133,Urgent Care,5628 Health Parkway,San Antonio,TX,78201,49
134,San Antonio General Hospital #134,General Hospital,1748 Health Parkway,San Antonio,TX,78201,308
135,Los Angeles Urgent Care #135,Urgent Care,7425 Health Parkway,Los Angeles,CA,90001,79
136,San Antonio Urgent Care #136,Urgent Care,2073 Health Parkway,San Antonio,TX,78201,697
137,Philadelphia Diagnostic Center #137,Diagnostic Center,883 Health Parkway,Philadelphia,PA,19101,509
138,Seattle Diagnostic Center #138,Diagnostic Center,2469 Health Parkway,Seattle,WA,98101,316
139,Phoenix General Hospital #139,General Hospital,9570 Health Parkway,Phoenix,AZ,85001,118
140,San Diego General Hospital #140,General Hospital,7063 Health Parkway,San Diego,CA,92101,469
141,San Antonio Urgent Care #141,Urgent Care,5551 Health Parkway,San Antonio,TX,78201,567
142,Los Angeles General Hospital #142,General Hospital,8897 Health Parkway,Los Angeles,CA,90001,729
143,New York Urgent Care #143,Urgent Care,7041 Health Parkway,New York,NY,10001,731
144,Los Angeles Specialty Clinic #144,Specialty Clinic,7630 Health Parkway,Los Angeles,CA,90001,632
145,Houston Specialty Clinic #145,Specialty Clinic,9359 Health Parkway,Houston,TX,77001,326
146,Denver Urgent Care #146,Urgent Care,6183 Health Parkway,Denver,CO,80201,786
147,San Jose Diagnostic Center #147,Diagnostic Center,4177 Health Parkway,San Jose,CA,95101,734
148,Phoenix Urgent Care #148,Urgent Care,1301 Health Parkway,Phoenix,AZ,85001,324
149,Austin General Hospital #149,General Hospital,2755 Health Parkway,Austin,TX,78701,42
150,Seattle General Hospital #150,General Hospital,2985 Health Parkway,Seattle,WA,98101,650
151,Jacksonville Urgent Care #151,Urgent Care,9102 Health Parkway,Jacksonville,FL,32201,592
152,Austin Diagnostic Center #152,Diagnostic Center,4293 Health Parkway,Austin,TX,78701,513
153,Boston Urgent Care #153,Urgent Care,353 Health Parkway,Boston,MA,02101,222
154,Chicago Specialty Clinic #154,Specialty Clinic,2000 Health Parkway,Chicago,IL,60601,69
155,Jacksonville Specialty Clinic #155,Specialty Clinic,3758 Health Parkway,Jacksonville,FL,32201,455
156,Los Angeles Diagnostic Center #156,Diagnostic Center,2551 Health Parkway,Los Angeles,CA,90001,46
157,New York Urgent Care #157,Urgent Care,1968 Health Parkway,New York,NY,10001,531
158,Chicago Specialty Clinic #158,Specialty Clinic,3993 Health Parkway,Chicago,IL,60601,493
159,Houston Specialty Clinic #159,Specialty Clinic,739 Health Parkway,Houston,TX,77001,757
160,Denver Specialty Clinic #160,Specialty Clinic,4302 Health Parkway,Denver,CO,80201,407
161,Denver Specialty Clinic #161,Specialty Clinic,5044 Health Parkway,Denver,CO,80201,733
162,Houston Urgent Care #162,Urgent Care,6153 Health Parkway,Houston,TX,77001,346
163,Dallas Specialty Clinic #163,Specialty Clinic,5123 Health Parkway,Dallas,TX,75201,516
164,Los Angeles Specialty Clinic #164,Specialty Clinic,7691 Health Parkway,Los Angeles,CA,90001,196
165,Dallas Urgent Care #165,Urgent Care,7224 Health Parkway,Dallas,TX,75201,125
166,Phoenix General Hospital #166,General Hospital,2531 Health Parkway,Phoenix,AZ,85001,461
167,San Antonio Specialty Clinic #167,Specialty Clinic,6625 Health Parkway,San Antonio,TX,78201,324
168,Dallas Specialty Clinic #168,Specialty Clinic,3450 Health Parkway,Dallas,TX,75201,188
169,Houston General Hospital #169,General Hospital,5472 Health Parkway,Houston,TX,77001,146
170,San Diego Urgent Care #170,Urgent Care,6313 Health Parkway,San Diego,CA,92101,741
171,Phoenix Specialty Clinic #171,Specialty Clinic,6222 Health Parkway,Phoenix,AZ,85001,142
172,Austin General Hospital #172,General Hospital,542 Health Parkway,Austin,TX,78701,35
173,Chicago Specialty Clinic #173,Specialty Clinic,9095 Health Parkway,Chicago,IL,60601,675
174,Jacksonville Specialty Clinic #174,Specialty Clinic,5444 Health Parkway,Jacksonville,FL,32201,54
175,Chicago General Hospital #175,General Hospital,6624 Health Parkway,Chicago,IL,60601,683
176,Boston Diagnostic Center #176,Diagnostic Center,7737 Health Parkway,Boston,MA,02101,531
177,Boston General Hospital #177,General Hospital,5083 Health Parkway,Boston,MA,02101,618
178,Houston Specialty Clinic #178,Specialty Clinic,5863 Health Parkway,Houston,TX,77001,720
179,Denver Specialty Clinic #179,Specialty Clinic,5193 Health Parkway,Denver,CO,80201,454
180,Phoenix General Hospital #180,General Hospital,1608 Health Parkway,Phoenix,AZ,85001,142
181,Los Angeles Diagnostic Center #181,Diagnostic Center,369 Health Parkway,Los Angeles,CA,90001,42
182,Jacksonville Urgent Care #182,Urgent Care,1784 Health Parkway,Jacksonville,FL,32201,754
183,Houston Specialty Clinic #183,Specialty Clinic,6214 Health Parkway,Houston,TX,77001,498
184,Boston General Hospital #184,General Hospital,3172 Health Parkway,Boston,MA,02101,257
185,Houston Urgent Care #185,Urgent Care,8345 Health Parkway,Houston,TX,77001,714
186,New York General Hospital #186,General Hospital,4537 Health Parkway,New York,NY,10001,301
187,Philadelphia Specialty Clinic #187,Specialty Clinic,2988 Health Parkway,Philadelphia,PA,19101,574
188,Dallas Specialty Clinic #188,Specialty Clinic,5688 Health Parkway,Dallas,TX,75201,31
189,Denver Specialty Clinic #189,Specialty Clinic,9430 Health Parkway,Denver,CO,80201,294
190,Dallas Specialty Clinic #190,Specialty Clinic,7718 Health Parkway,Dallas,TX,75201,722
191,Boston General Hospital #191,General Hospital,5497 Health Parkway,Boston,MA,02101,361
192,Austin General Hospital #192,General Hospital,8103 Health Parkway,Austin,TX,78701,478
193,Denver Specialty Clinic #193,Specialty Clinic,5518 Health Parkway,Denver,CO,80201,751
194,Philadelphia Diagnostic Center #194,Diagnostic Center,983 Health Parkway,Philadelphia,PA,19101,448
195,Dallas Urgent Care #195,Urgent Care,3360 Health Parkway,Dallas,TX,75201,750
196,New York Specialty Clinic #196,Specialty Clinic,5339 Health Parkway,New York,NY,10001,215
197,Houston Specialty Clinic #197,Specialty Clinic,1947 Health Parkway,Houston,TX,77001,721
198,Jacksonville Specialty Clinic #198,Specialty Clinic,2186 Health Parkway,Jacksonville,FL,32201,785
199,Dallas Urgent Care #199,Urgent Care,9252 Health Parkway,Dallas,TX,75201,301
200,Philadelphia Diagnostic Center #200,Diagnostic Center,8968 Health Parkway,Philadelphia,PA,19101,191
201,Boston Urgent Care #201,Urgent Care,7105 Health Parkway,Boston,MA,02101,536
202,Houston Specialty Clinic #202,Specialty Clinic,1299 Health Parkway,Houston,TX,77001,212
203,San Diego Diagnostic Center #203,Diagnostic Center,1570 Health Parkway,San Diego,CA,92101,450
204,Seattle Urgent Care #204,Urgent Care,3901 Health Parkway,Seattle,WA,98101,762
205,Los Angeles Urgent Care #205,Urgent Care,1297 Health Parkway,Los Angeles,CA,90001,755
206,San Jose General Hospital #206,General Hospital,6494 Health Parkway,San Jose,CA,95101,473
207,Seattle Urgent Care #207,Urgent Care,9650 Health Parkway,Seattle,WA,98101,659
208,Boston Diagnostic Center #208,Diagnostic Center,7657 Health Parkway,Boston,MA,02101,341
209,Boston Specialty Clinic #209,Specialty Clinic,3636 Health Parkway,Boston,MA,02101,438
210,Seattle Urgent Care #210,Urgent Care,4092 Health Parkway,Seattle,WA,98101,334
211,Dallas Specialty Clinic #211,Specialty Clinic,1780 Health Parkway,Dallas,TX,75201,797
212,Seattle Specialty Clinic #212,Specialty Clinic,2571 Health Parkway,Seattle,WA,98101,416
213,Jacksonville General Hospital #213,General Hospital,7144 Health Parkway,Jacksonville,FL,32201,547
214,Chicago Diagnostic Center #214,Diagnostic Center,3801 Health Parkway,Chicago,IL,60601,170
215,San Antonio Specialty Clinic #215,Specialty Clinic,9453 Health Parkway,San Antonio,TX,78201,93
216,Austin Urgent Care #216,Urgent Care,454 Health Parkway,Austin,TX,78701,329
217,Boston General Hospital #217,General Hospital,9769 Health Parkway,Boston,MA,02101,98
218,Austin Diagnostic Center #218,Diagnostic Center,9875 Health Parkway,Austin,TX,78701,371
219,Denver Specialty Clinic #219,Specialty Clinic,8871 Health Parkway,Denver,CO,80201,159
220,Dallas Urgent Care #220,Urgent Care,8846 Health Parkway,Dallas,TX,75201,312
221,Denver Urgent Care #221,Urgent Care,8582 Health Parkway,Denver,CO,80201,745
222,New York General Hospital #222,General Hospital,683 Health Parkway,New York,NY,10001,629
223,Houston Diagnostic Center #223,Diagnostic Center,2946 Health Parkway,Houston,TX,77001,336
224,New York General Hospital #224,General Hospital,8418 Health Parkway,New York,NY,10001,358
225,San Antonio Diagnostic Center #225,Diagnostic Center,6174 Health Parkway,San Antonio,TX,78201,325
226,New York Urgent Care #226,Urgent Care,681 Health Parkway,New York,NY,10001,247
227,New York Diagnostic Center #227,Diagnostic Center,532 Health Parkway,New York,NY,10001,723
228,New York Specialty Clinic #228,Specialty Clinic,1389 Health Parkway,New York,NY,10001,375
229,Los Angeles Diagnostic Center #229,Diagnostic Center,612 Health Parkway,Los Angeles,CA,90001,590
230,San Diego General Hospital #230,General Hospital,9319 Health Parkway,San Diego,CA,92101,61
231,San Antonio Diagnostic Center #231,Diagnostic Center,7989 Health Parkway,San Antonio,TX,78201,640
232,Boston General Hospital #232,General Hospital,1322 Health Parkway,Boston,MA,02101,331
233,Boston General Hospital #233,General Hospital,2077 Health Parkway,Boston,MA,02101,688
234,Chicago Diagnostic Center #234,Diagnostic Center,947 Health Parkway,Chicago,IL,60601,583
235,New York Specialty Clinic #235,Specialty Clinic,506 Health Parkway,New York,NY,10001,304
236,New York Urgent Care #236,Urgent Care,2802 Health Parkway,New York,NY,10001,131
237,Jacksonville Diagnostic Center #237,Diagnostic Center,6960 Health Parkway,Jacksonville,FL,32201,754
238,Phoenix General Hospital #238,General Hospital,584 Health Parkway,Phoenix,AZ,85001,312
239,San Jose General Hospital #239,General Hospital,1504 Health Parkway,San Jose,CA,95101,433
240,Chicago General Hospital #240,General Hospital,9438 Health Parkway,Chicago,IL,60601,354
241,Philadelphia Urgent Care #241,Urgent Care,1734 Health Parkway,Philadelphia,PA,19101,743
242,Denver Specialty Clinic #242,Specialty Clinic,9993 Health Parkway,Denver,CO,80201,379
243,San Antonio Urgent Care #243,Urgent Care,9618 Health Parkway,San Antonio,TX,78201,179
244,Chicago Urgent Care #244,Urgent Care,7942 Health Parkway,Chicago,IL,60601,509
245,San Antonio Diagnostic Center #245,Diagnostic Center,8462 Health Parkway,San Antonio,TX,78201,44
246,Phoenix Specialty Clinic #246,Specialty Clinic,4958 Health Parkway,Phoenix,AZ,85001,719
247,Denver Diagnostic Center #247,Diagnostic Center,9265 Health Parkway,Denver,CO,80201,413
248,Denver General Hospital #248,General Hospital,1463 Health Parkway,Denver,CO,80201,206
249,Los Angeles Diagnostic Center #249,Diagnostic Center,1274 Health Parkway,Los Angeles,CA,90001,86
250,Austin Urgent Care #250,Urgent Care,528 Health Parkway,Austin,TX,78701,471
251,San Antonio Specialty Clinic #251,Specialty Clinic,8811 Health Parkway,San Antonio,TX,78201,366
252,Chicago Urgent Care #252,Urgent Care,3177 Health Parkway,Chicago,IL,60601,242
253,Chicago Specialty Clinic #253,Specialty Clinic,1090 Health Parkway,Chicago,IL,60601,624
254,Chicago General Hospital #254,General Hospital,7657 Health Parkway,Chicago,IL,60601,87
255,Austin Urgent Care #255,Urgent Care,7510 Health Parkway,Austin,TX,78701,464
256,San Diego General Hospital #256,General Hospital,1432 Health Parkway,San Diego,CA,92101,287
257,Houston General Hospital #257,General Hospital,6726 Health Parkway,Houston,TX,77001,279
258,San Jose General Hospital #258,General Hospital,9418 Health Parkway,San Jose,CA,95101,299
259,Boston Urgent Care #259,Urgent Care,3843 Health Parkway,Boston,MA,02101,230
260,Dallas Specialty Clinic #260,Specialty Clinic,8387 Health Parkway,Dallas,TX,75201,464
261,San Jose Diagnostic Center #261,Diagnostic Center,4043 Health Parkway,San Jose,CA,95101,382
262,Dallas Urgent Care #262,Urgent Care,3950 Health Parkway,Dallas,TX,75201,185
263,Los Angeles Urgent Care #263,Urgent Care,4137 Health Parkway,Los Angeles,CA,90001,507
264,Los Angeles Urgent Care #264,Urgent Care,8910 Health Parkway,Los Angeles,CA,90001,473
265,San Antonio General Hospital #265,General Hospital,2651 Health Parkway,San Antonio,TX,78201,730
266,Dallas Diagnostic Center #266,Diagnostic Center,5777 Health Parkway,Dallas,TX,75201,701
267,Los Angeles Diagnostic Center #267,Diagnostic Center,9892 Health Parkway,Los Angeles,CA,90001,631
268,Austin Urgent Care #268,Urgent Care,4627 Health Parkway,Austin,TX,78701,672
269,New York General Hospital #269,General Hospital,4450 Health Parkway,New York,NY,10001,697
270,San Jose Diagnostic Center #270,Diagnostic Center,4575 Health Parkway,San Jose,CA,95101,143
271,Houston Diagnostic Center #271,Diagnostic Center,4790 Health Parkway,Houston,TX,77001,236
272,Houston General Hospital #272,General Hospital,253 Health Parkway,Houston,TX,77001,673
273,Phoenix Diagnostic Center #273,Diagnostic Center,9899 Health Parkway,Phoenix,AZ,85001,69
274,Philadelphia Diagnostic Center #274,Diagnostic Center,9935 Health Parkway,Philadelphia,PA,19101,286
275,Houston Urgent Care #275,Urgent Care,9744 Health Parkway,Houston,TX,77001,17
276,Chicago Urgent Care #276,Urgent Care,4409 Health Parkway,Chicago,IL,60601,36
277,Denver Specialty Clinic #277,Specialty Clinic,6358 Health Parkway,Denver,CO,80201,612
278,Phoenix General Hospital #278,General Hospital,9102 Health Parkway,Phoenix,AZ,85001,144
279,Philadelphia Specialty Clinic #279,Specialty Clinic,7560 Health Parkway,Philadelphia,PA,19101,104
280,Austin Diagnostic Center #280,Diagnostic Center,5342 Health Parkway,Austin,TX,78701,401
281,Austin Urgent Care #281,Urgent Care,3353 Health Parkway,Austin,TX,78701,656
282,Austin Specialty Clinic #282,Specialty Clinic,1119 Health Parkway,Austin,TX,78701,349
283,New York Urgent Care #283,Urgent Care,6161 Health Parkway,New York,NY,10001,469
284,Phoenix Diagnostic Center #284,Diagnostic Center,4297 Health Parkway,Phoenix,AZ,85001,537
285,Seattle General Hospital #285,General Hospital,232 Health Parkway,Seattle,WA,98101,115
286,Philadelphia Diagnostic Center #286,Diagnostic Center,9433 Health Parkway,Philadelphia,PA,19101,120
287,Boston Urgent Care #287,Urgent Care,8955 Health Parkway,Boston,MA,02101,344
288,New York Urgent Care #288,Urgent Care,3663 Health Parkway,New York,NY,10001,785
289,San Jose Urgent Care #289,Urgent Care,9748 Health Parkway,San Jose,CA,95101,51
290,Chicago Specialty Clinic #290,Specialty Clinic,8255 Health Parkway,Chicago,IL,60601,247
291,Denver General Hospital #291,General Hospital,1678 Health Parkway,Denver,CO,80201,625
292,Denver Diagnostic Center #292,Diagnostic Center,5975 Health Parkway,Denver,CO,80201,375
293,Seattle Specialty Clinic #293,Specialty Clinic,5090 Health Parkway,Seattle,WA,98101,557
294,Seattle Urgent Care #294,Urgent Care,3855 Health Parkway,Seattle,WA,98101,226
295,New York Urgent Care #295,Urgent Care,5115 Health Parkway,New York,NY,10001,310
296,San Jose Specialty Clinic #296,Specialty Clinic,5753 Health Parkway,San Jose,CA,95101,111
297,Houston General Hospital #297,General Hospital,827 Health Parkway,Houston,TX,77001,552
298,Los Angeles Urgent Care #298,Urgent Care,9338 Health Parkway,Los Angeles,CA,90001,563
299,Phoenix Urgent Care #299,Urgent Care,3271 Health Parkway,Phoenix,AZ,85001,687
