warehouse_inventory_id,location_id,product_id,quantity_on_hand,quantity_reserved,reorder_point,last_received_date
78,1299,1553,15957,1259,1444,2026-08-27
79,1265,2810,6091,1222,1088,2026-08-21
80,1257,2568,16686,3312,776,2026-08-11
81,1282,7342,15886,3347,685,2026-06-05
82,1265,8588,16204,1253,1080,2026-07-03
83,1277,4591,14070,3022,1831,2026-07-23
84,1272,2763,11948,1574,1597,2026-07-14
85,1260,3761,13393,3017,1733,2026-06-16
86,1297,7892,9257,1604,987,2026-07-11
87,1265,3169,8432,1354,1631,2026-06-01
88,1293,3335,13656,2361,1851,2026-08-17
89,1294,9903,1230,199,1199,2026-06-20
90,1259,5320,1836,274,1850,2026-06-23
91,1251,7513,4244,293,1341,2026-06-05
92,1266,6424,514,105,1229,2026-06-19
93,1274,841,713,136,1918,2026-06-03
94,1270,3217,17696,4165,965,2026-07-17
95,1284,9245,1532,287,1557,2026-06-25
96,1283,2610,9222,1526,1298,2026-07-31
97,1297,7713,8388,1395,563,2026-08-22
98,1294,7003,7433,1019,1347,2026-08-14
99,1270,4616,4490,635,804,2026-07-10
100,1269,7032,769,77,1118,2026-07-30
101,1265,8625,9296,1025,960,2026-06-09
102,1276,88,17199,1776,1921,2026-08-12
103,1282,97,14779,1889,1283,2026-05-29
104,1272,5034,6355,695,1193,2026-06-05
105,1255,6645,5388,1050,1026,2026-07-21
106,1280,7986,19779,3571,1547,2026-08-25
107,1268,5184,18874,3251,738,2026-06-09
108,1262,4754,8818,1023,1241,2026-08-16
109,1282,2036,11695,1918,1185,2026-06-03
110,1269,9171,10012,1046,1675,2026-08-10
111,1265,6425,11136,686,1034,2026-07-24
112,1252,2722,2153,478,1499,2026-07-03
113,1289,2606,2318,510,769,2026-07-15
114,1297,856,3753,344,508,2026-06-27
115,1261,1950,13983,3466,777,2026-07-25
116,1285,3899,19052,2886,1411,2026-06-20
117,1298,6343,10817,1359,821,2026-06-29
118,1270,6177,8601,918,1171,2026-07-29
119,1274,2949,16692,3375,1260,2026-06-03
120,1265,4037,4577,427,525,2026-08-02
121,1295,1148,5716,1051,1895,2026-07-31
122,1261,395,18122,1358,899,2026-08-18
123,1275,4030,6544,943,1263,2026-06-05
124,1280,6540,11057,2320,1043,2026-07-11
125,1295,5757,9310,1307,787,2026-08-17
126,1282,7605,2894,395,1855,2026-06-09
127,1252,5655,10891,2568,633,2026-07-19
128,1290,5776,1954,216,650,2026-07-14
129,1294,757,12645,2829,1511,2026-06-10
130,1254,7799,17919,3983,1810,2026-07-16
131,1277,9730,18130,1964,554,2026-08-24
132,1275,1544,14116,3283,1000,2026-06-10
133,1254,6281,16277,2088,1012,2026-07-07
134,1267,2321,19738,2908,1124,2026-08-07
135,1276,9793,14223,1650,1379,2026-07-09
136,1294,7175,2428,173,1543,2026-08-22
137,1270,8957,6894,1132,1699,2026-07-23
138,1284,3906,14839,2812,682,2026-06-04
139,1280,7871,13055,2400,1658,2026-06-11
140,1259,4148,11027,2190,1365,2026-08-17
141,1277,1545,10295,2455,1204,2026-06-02
142,1281,5914,15766,2213,1497,2026-07-14
143,1286,1170,9344,1051,1954,2026-08-20
144,1280,1276,13925,2952,548,2026-08-05
145,1265,3798,9361,2212,1357,2026-07-17
146,1278,4793,7199,1545,1864,2026-08-09
147,1291,9752,14122,811,775,2026-07-24
148,1298,1788,10202,2299,1871,2026-07-29
149,1254,9635,14412,1990,993,2026-06-23
150,1285,6913,6227,585,1615,2026-06-22
151,1255,1722,12395,1406,895,2026-06-10
152,1280,8876,12124,2406,667,2026-06-24
153,1282,2904,9100,457,1786,2026-06-17
154,1299,1893,16775,3767,1507,2026-07-28
155,1264,839,4450,283,1569,2026-06-01
156,1281,1067,8780,1748,949,2026-07-12
157,1296,9278,11264,2305,630,2026-08-25
158,1267,9246,10125,781,800,2026-07-23
159,1257,387,5314,476,681,2026-05-31
160,1288,5751,10246,2353,569,2026-07-16
161,1262,8140,8615,1472,1067,2026-07-24
162,1288,3758,5410,553,638,2026-06-14
163,1262,1071,19890,3520,1890,2026-08-09
164,1261,7881,5970,1127,1501,2026-06-12
165,1258,645,16393,2291,917,2026-08-03
166,1261,8435,5250,302,1254,2026-08-09
167,1279,8621,1511,307,741,2026-08-03
168,1267,6073,10591,1809,1041,2026-08-09
169,1296,5619,8898,1385,771,2026-07-23
170,1252,8003,9942,2233,664,2026-07-21
171,1298,5121,9850,1179,1269,2026-08-24
172,1258,7718,14473,1669,1194,2026-08-26
173,1281,9939,1876,383,1316,2026-06-11
174,1294,6629,13687,836,1900,2026-06-09
175,1283,5569,8770,928,547,2026-08-13
176,1295,7330,11899,1053,1142,2026-07-27
177,1268,1962,856,182,1926,2026-08-06
178,1285,3864,10490,2166,872,2026-08-18
179,1270,6738,19461,4751,1821,2026-06-18
180,1296,2686,19147,2571,530,2026-06-22
181,1279,3350,6931,365,921,2026-06-16
182,1259,969,17992,4353,544,2026-05-30
183,1296,439,955,237,763,2026-08-04
184,1287,1785,6324,1280,827,2026-07-20
185,1259,7083,5991,379,690,2026-08-24
186,1258,9162,10338,1155,1896,2026-07-06
187,1264,8094,4961,690,1492,2026-06-04
188,1295,4422,523,115,1770,2026-07-22
189,1288,8455,2975,665,807,2026-07-15
190,1295,2539,15750,1183,1569,2026-07-12
191,1267,9360,5692,287,1163,2026-07-19
192,1254,370,8756,871,934,2026-06-28
193,1271,6715,7272,1131,1514,2026-06-01
194,1275,6717,4934,1175,1357,2026-08-12
195,1283,5029,6477,1523,1000,2026-07-16
196,1293,9888,14894,3294,1231,2026-06-18
197,1289,464,16502,1367,1969,2026-08-07
198,1267,5681,4329,899,1591,2026-06-13
199,1299,2822,573,107,1313,2026-06-29
200,1288,1338,1439,316,1225,2026-07-27
201,1293,8069,16178,2835,607,2026-07-30
202,1290,2821,7271,625,1191,2026-08-02
203,1288,9214,7115,625,1734,2026-07-28
204,1273,8778,11505,1713,717,2026-08-08
205,1273,1082,9212,1533,1670,2026-08-11
206,1295,3747,12286,1604,1063,2026-06-02
207,1285,3936,9757,1976,1756,2026-06-10
208,1299,8461,13665,2572,1609,2026-08-16
209,1262,8048,8466,1017,1181,2026-08-18
210,1271,1961,12723,1808,756,2026-06-12
211,1256,6799,15257,2539,802,2026-07-28
212,1292,2032,1624,253,1884,2026-07-23
213,1261,3059,18410,2173,1827,2026-06-11
214,1265,5919,15761,1621,1188,2026-07-18
215,1269,9173,6899,605,1643,2026-07-22
216,1275,1316,6579,465,1958,2026-06-09
217,1260,1231,19932,1421,1303,2026-07-07
218,1274,9749,8571,771,995,2026-05-30
219,1279,2747,12164,1974,929,2026-06-04
220,1254,4470,13317,2004,1457,2026-06-18
221,1275,5349,10651,979,1913,2026-06-09
222,1253,8113,18343,4357,1492,2026-07-21
223,1259,9984,12069,910,1927,2026-06-14
224,1299,3093,11919,783,718,2026-07-27
225,1251,5220,7898,1215,1657,2026-07-21
226,1265,4415,16618,3986,1305,2026-06-18
227,1255,4730,19032,1619,802,2026-06-28
228,1282,4052,11042,951,1642,2026-07-26
229,1290,1903,13174,2758,1130,2026-06-13
230,1272,9193,7930,1229,1186,2026-08-23
231,1276,5797,14619,3574,751,2026-08-18
232,1279,5781,10745,1693,699,2026-06-06
233,1280,5780,12768,2747,560,2026-07-31
234,1251,385,10576,1072,1332,2026-08-18
235,1295,5118,16964,2459,841,2026-06-06
236,1295,6248,12797,3150,798,2026-08-06
237,1285,415,18393,3655,1710,2026-06-07
238,1270,4122,13766,1884,1583,2026-06-30
239,1270,8129,3032,475,1722,2026-06-13
240,1274,5348,9722,1411,711,2026-08-23
241,1251,6934,1701,135,752,2026-07-21
242,1275,5941,12011,2995,1608,2026-08-26
243,1299,33,8497,1284,1136,2026-08-10
244,1282,9653,13098,3227,1387,2026-06-20
245,1277,3169,5657,826,1794,2026-08-19
246,1262,5628,13263,1782,875,2026-07-15
247,1272,7178,9226,1881,1166,2026-08-06
248,1292,1660,9779,1089,1358,2026-08-17
249,1284,7345,14643,3567,1533,2026-08-09
250,1293,5643,17306,2460,541,2026-06-06
251,1290,7371,7473,902,1466,2026-06-28
252,1289,5622,9018,559,1974,2026-06-07
253,1293,5856,7157,477,1585,2026-08-26
254,1268,5030,15190,3648,824,2026-07-21
255,1297,9667,10532,1687,1171,2026-08-27
256,1277,1828,7176,756,1364,2026-07-04
257,1277,1157,16356,2967,1011,2026-08-19
258,1292,7778,18798,4688,1163,2026-06-30
259,1288,8441,9455,1981,609,2026-07-01
260,1269,70,15672,1640,1050,2026-06-18
261,1261,7302,9991,804,599,2026-08-03
262,1297,6793,15826,3421,1899,2026-08-27
263,1296,6975,3686,617,1234,2026-06-26
264,1284,9866,6545,498,1193,2026-08-01
265,1291,5330,10381,1410,1811,2026-06-02
266,1279,489,6739,605,594,2026-07-14
267,1251,612,18205,3347,932,2026-06-04
268,1288,1230,8521,660,1793,2026-07-31
269,1263,9493,2196,296,1568,2026-08-04
270,1252,6204,16172,4028,1469,2026-05-29
271,1253,6199,7329,602,1334,2026-08-02
272,1296,5181,7913,844,1826,2026-07-06
273,1292,2161,15740,929,1360,2026-07-17
274,1295,6720,4889,780,1044,2026-07-24
275,1257,2625,19618,2073,1678,2026-08-14
276,1269,9297,11201,1888,1228,2026-06-07
277,1275,7889,4871,485,1685,2026-06-14
278,1260,172,6505,995,1682,2026-07-31
279,1265,9604,2098,307,1353,2026-08-05
280,1252,1225,15681,2581,987,2026-07-19
281,1276,4763,19804,4815,995,2026-06-09
282,1277,3171,12889,2478,1868,2026-08-27
283,1267,2976,560,41,1215,2026-07-24
284,1271,5367,11442,2009,1486,2026-07-05
285,1288,3000,7151,1483,1995,2026-06-29
286,1253,7713,6739,712,937,2026-07-26
287,1252,6958,8600,1553,1471,2026-06-07
288,1296,1332,5188,953,867,2026-07-04
289,1286,3190,7743,1154,1245,2026-06-13
290,1276,1634,10939,753,1196,2026-08-04
291,1294,8521,8373,429,1873,2026-08-01
292,1285,8857,18401,1950,1094,2026-06-14
293,1259,395,1749,184,1181,2026-08-26
294,1279,1604,19651,1411,1418,2026-06-19
295,1290,4056,13225,2341,527,2026-08-04
296,1258,1962,2131,492,1418,2026-07-21
297,1283,2104,16703,1591,1377,2026-06-04
298,1278,2776,13366,2105,1112,2026-05-31
299,1263,2683,16423,2378,1026,2026-06-13
300,1254,6501,18054,4404,930,2026-06-25
301,1251,8900,5195,769,879,2026-06-15
302,1289,853,17720,3699,645,2026-06-12
303,1253,3338,18167,2507,716,2026-07-03
304,1263,7957,8655,1912,690,2026-07-21
305,1252,5799,8030,1411,567,2026-07-05
306,1282,9498,12192,1255,901,2026-07-28
307,1296,493,2197,467,1187,2026-07-14
308,1268,4114,4386,308,1141,2026-06-28
309,1264,5148,2452,303,1312,2026-07-29
310,1297,769,15117,3263,853,2026-07-22
311,1275,1979,16645,3527,1115,2026-08-21
312,1266,307,14525,2435,695,2026-08-14
313,1297,7476,9777,665,1734,2026-08-21
314,1290,7993,16688,3899,678,2026-08-16
315,1257,936,6160,428,1425,2026-08-13
316,1300,6188,18319,2482,698,2026-06-03
317,1276,8491,18200,2141,1022,2026-07-09
318,1254,6204,4826,494,618,2026-07-05
319,1296,811,17516,1224,1291,2026-08-21
320,1262,6396,12538,1848,1345,2026-07-06
321,1260,7808,2216,202,725,2026-06-17
322,1258,4115,12283,749,1155,2026-08-26
323,1270,1352,16742,1940,1055,2026-06-15
324,1282,9069,5196,1055,1468,2026-08-18
325,1290,1626,8524,1345,1591,2026-06-11
326,1273,6569,14268,2621,1199,2026-06-06
327,1260,8872,1970,238,808,2026-07-13
328,1296,8704,10097,1489,1699,2026-07-29
329,1291,3909,18806,1314,1619,2026-08-10
330,1257,8572,1414,347,1430,2026-06-18
331,1269,6991,14832,2906,1235,2026-07-14
332,1263,6930,10361,1288,1888,2026-08-14
333,1285,377,2205,208,633,2026-08-25
334,1300,1983,12352,2873,1045,2026-06-16
335,1276,467,9223,2140,1816,2026-06-02
336,1267,2898,10906,1479,1684,2026-06-19
337,1283,6198,2353,138,991,2026-08-09
338,1281,4254,14991,2768,731,2026-08-24
339,1276,4442,18549,1223,676,2026-07-09
340,1263,5121,8524,646,1913,2026-06-13
341,1277,261,14366,1721,1353,2026-08-14
342,1297,3135,7627,1015,1792,2026-05-29
343,1273,5739,3888,297,965,2026-08-03
344,1298,9945,17537,3516,1771,2026-08-23
345,1255,8792,16341,3522,671,2026-07-04
346,1292,9552,15526,2676,988,2026-07-21
347,1266,7287,9267,1626,545,2026-07-15
348,1260,2524,3894,596,1856,2026-07-23
349,1292,1393,10665,2543,1973,2026-07-31
350,1275,7568,5525,333,551,2026-06-27
351,1293,8836,17584,1643,1499,2026-08-11
352,1289,8141,14199,2065,674,2026-06-07
353,1273,1275,1010,110,1005,2026-07-25
354,1265,7075,9093,888,624,2026-07-15
355,1262,3326,9615,1230,1842,2026-07-20
356,1251,8526,8316,1944,1371,2026-06-10
357,1271,1449,11572,2402,756,2026-07-14
358,1300,4928,11463,1583,1643,2026-08-16
359,1288,6339,8588,1172,627,2026-06-16
360,1292,2114,3577,485,1818,2026-08-09
361,1297,3147,772,164,1243,2026-08-21
362,1274,835,1108,115,577,2026-06-12
363,1294,9951,16836,1621,583,2026-08-11
364,1297,6637,18435,2756,1169,2026-06-12
365,1276,7679,9925,1765,1125,2026-06-01
366,1262,9080,17428,2130,1054,2026-07-23
367,1283,5916,1503,145,1093,2026-08-20
368,1288,9909,16390,2787,611,2026-08-17
369,1288,847,12339,775,1624,2026-08-08
370,1268,7166,16388,1106,1308,2026-08-04
371,1267,7291,4152,840,1944,2026-06-24
372,1294,7770,13937,1593,1363,2026-06-24
373,1256,9473,15924,1083,1499,2026-08-14
374,1298,3865,874,81,1049,2026-07-30
375,1293,8738,19582,3944,1262,2026-06-27
376,1269,7295,10436,1451,978,2026-06-28
377,1259,8715,19728,4894,648,2026-08-10
378,1267,1713,10637,2482,1303,2026-05-29
379,1276,4058,1353,267,1884,2026-06-22
380,1285,2744,10151,1201,1992,2026-08-24
381,1273,2057,2203,429,1769,2026-06-11
382,1262,920,18827,2652,873,2026-07-26
383,1283,5589,9063,1589,868,2026-08-16
384,1267,6823,14814,2769,1309,2026-08-26
385,1273,8265,17264,4066,820,2026-06-07
386,1274,8679,6589,541,1236,2026-07-25
387,1282,7325,679,167,928,2026-07-29
388,1255,3067,9881,1212,1506,2026-07-19
389,1287,8897,3553,378,1332,2026-08-11
390,1251,8147,8736,667,1213,2026-06-03
391,1285,5458,14182,2871,1069,2026-06-04
392,1258,6078,2029,251,1055,2026-06-03
393,1271,6274,15924,2898,1370,2026-07-08
394,1266,5020,6001,883,597,2026-06-03
395,1257,3456,9088,1138,809,2026-06-29
396,1273,7442,5954,609,1874,2026-08-02
397,1289,4727,6887,1652,1074,2026-06-06
398,1258,9267,4652,846,958,2026-07-25
399,1272,9272,9501,1655,667,2026-07-26
400,1260,7498,16670,4002,1286,2026-08-08
401,1272,5446,4170,631,855,2026-07-27
402,1290,2357,14285,2106,1451,2026-08-22
403,1258,4147,16565,3396,504,2026-06-22
404,1262,247,1748,217,833,2026-07-29
405,1295,5422,15167,2791,1358,2026-07-16
406,1291,56,10638,775,566,2026-07-09
407,1287,9829,19276,3912,1331,2026-06-06
408,1269,7454,7829,766,555,2026-06-20
409,1285,5086,10172,581,582,2026-06-04
410,1291,1190,11952,1851,1890,2026-07-22
411,1288,1519,14898,2756,530,2026-06-08
412,1298,6758,6973,1610,644,2026-08-08
413,1282,571,2826,356,1821,2026-08-03
414,1265,1232,15150,3109,1723,2026-07-16
415,1264,1955,3471,442,580,2026-08-27
416,1254,7395,8843,1302,1466,2026-07-07
417,1259,4072,17969,2279,1166,2026-07-20
418,1264,5830,8094,436,837,2026-07-24
419,1268,4826,1673,120,826,2026-07-12
420,1280,3593,3604,425,1684,2026-06-13
421,1259,3360,10924,971,1721,2026-07-05
422,1289,4479,19194,1962,860,2026-08-16
423,1261,5345,3285,503,1648,2026-07-01
424,1289,7870,11181,2016,1346,2026-06-12
425,1265,5552,12786,1636,942,2026-08-19
426,1287,6737,11332,1086,724,2026-06-25
427,1258,479,11863,1623,1639,2026-07-30
428,1258,7799,10788,2431,1551,2026-06-03
429,1289,4137,522,33,1200,2026-06-24
430,1292,690,18181,1478,1312,2026-08-01
431,1253,543,2907,220,1823,2026-06-03
432,1283,3186,15130,3624,972,2026-08-15
433,1257,4609,11174,1453,1926,2026-08-11
434,1260,1579,13158,2709,817,2026-06-23
435,1257,3116,709,111,1860,2026-08-21
436,1260,9499,19738,3588,1739,2026-08-16
437,1272,4287,6242,1047,580,2026-06-07
438,1255,229,2561,601,1356,2026-07-04
439,1292,2529,11414,2843,1029,2026-06-17
440,1293,7622,5053,578,966,2026-07-01
441,1261,9531,9522,704,1426,2026-07-16
442,1259,1810,10458,1866,1696,2026-05-29
443,1260,576,7959,441,625,2026-07-10
444,1285,2440,11820,651,1059,2026-08-23
445,1291,4469,4720,690,1913,2026-06-10
446,1261,1520,6860,602,1171,2026-06-30
447,1296,3717,14886,1253,568,2026-06-17
448,1252,9044,5058,1229,649,2026-06-28
449,1257,7182,18473,2315,1872,2026-07-03
450,1289,8958,5072,1123,596,2026-08-08
451,1265,6534,16695,1340,783,2026-07-16
452,1271,6881,16766,2237,586,2026-05-31
453,1277,4204,19430,3164,1870,2026-08-04
454,1258,6372,7396,1627,966,2026-06-11
455,1290,4819,15131,2962,835,2026-08-24
456,1285,9936,3742,694,1999,2026-07-27
457,1290,5134,15420,1819,805,2026-07-01
458,1274,6375,7902,1923,1026,2026-06-14
459,1297,5417,1318,104,1669,2026-07-13
460,1261,812,3329,812,1466,2026-08-27
461,1277,1240,3056,414,1821,2026-07-01
462,1296,7440,14214,1191,862,2026-07-31
463,1293,1509,951,234,1416,2026-08-20
464,1277,7339,1847,271,613,2026-07-17
465,1290,8554,15181,1964,617,2026-07-24
466,1258,2360,11162,1811,1094,2026-08-07
467,1254,1008,17974,2774,1471,2026-08-22
468,1290,4235,5079,1225,1720,2026-08-04
469,1276,3874,2332,154,1040,2026-08-13
470,1271,7673,1342,229,1523,2026-07-05
471,1293,5537,11104,840,1586,2026-06-22
472,1251,5999,9870,1477,1077,2026-07-24
473,1286,1471,14341,1336,1258,2026-08-24
474,1255,1102,11404,1543,1884,2026-06-03
475,1287,4087,4186,253,1005,2026-08-13
476,1276,4413,11902,2547,693,2026-06-13
477,1297,7499,8006,869,1236,2026-05-29
478,1287,4075,14161,2307,719,2026-07-06
479,1277,239,5117,1074,1032,2026-07-28
480,1264,8553,19244,2975,804,2026-07-01
481,1300,3546,4612,603,982,2026-08-27
482,1258,1659,2956,542,761,2026-07-25
483,1292,7006,2139,446,1695,2026-08-07
484,1291,5391,17880,3951,1551,2026-06-23
485,1259,7031,16773,2556,1750,2026-08-04
486,1284,8461,3742,313,509,2026-07-12
487,1278,4958,11040,1594,933,2026-08-06
488,1272,9352,17207,1699,1732,2026-08-13
489,1287,5907,16808,3174,696,2026-07-27
490,1251,587,916,145,1573,2026-06-05
491,1295,491,13321,2083,1558,2026-07-15
492,1279,4531,17485,1977,1730,2026-06-04
493,1266,7423,2635,374,891,2026-07-12
494,1284,7487,10626,2262,1189,2026-07-24
495,1254,7480,15869,3358,510,2026-07-26
496,1257,4930,16435,1429,1646,2026-08-26
497,1277,3155,1941,223,1158,2026-07-24
498,1263,2219,1703,182,1952,2026-06-12
499,1260,1544,9440,1958,1209,2026-08-22
500,1296,4101,18783,3906,1005,2026-06-14
501,1267,3230,5353,1047,897,2026-08-18
502,1274,413,8600,606,1398,2026-08-24
503,1297,2436,13651,971,1528,2026-08-24
504,1291,3593,520,51,985,2026-08-22
505,1269,9405,11043,1303,1995,2026-07-11
506,1295,1292,1812,103,1355,2026-08-18
507,1286,6955,11063,557,766,2026-07-10
508,1257,715,12270,1059,1281,2026-08-19
509,1275,9148,13987,1630,968,2026-07-04
510,1251,9650,14969,2250,1922,2026-08-21
511,1286,7736,17065,2013,1975,2026-08-27
512,1299,6121,6453,1224,588,2026-08-17
513,1261,4969,6378,918,1098,2026-07-12
514,1263,6063,1332,141,1199,2026-07-30
515,1274,3564,18484,3198,1844,2026-08-09
516,1284,2218,8106,1361,1528,2026-06-10
517,1278,4001,2019,232,1742,2026-07-03
518,1299,7087,10345,1821,1529,2026-06-16
519,1295,9879,5861,715,1026,2026-08-27
520,1284,6509,11296,2736,1499,2026-06-08
521,1274,5740,13395,2321,1740,2026-06-22
522,1292,1297,14688,2538,1421,2026-07-18
523,1255,2620,19961,1578,584,2026-08-01
524,1251,774,3454,746,1986,2026-08-25
525,1264,590,16363,3527,1403,2026-08-26
526,1290,8054,12518,2855,541,2026-06-12
527,1293,9174,4762,761,1099,2026-08-15
528,1260,243,1203,209,1949,2026-08-23
529,1300,428,15737,3676,1354,2026-07-01
530,1253,7689,17111,1443,527,2026-06-07
531,1298,2885,7286,1281,1248,2026-06-19
532,1254,6947,9510,687,1813,2026-07-06
533,1298,8604,15002,2753,1964,2026-08-10
534,1266,231,12205,1843,1153,2026-05-29
535,1262,5958,7327,680,1556,2026-06-09
536,1279,5312,786,183,800,2026-07-23
537,1294,8833,17192,2972,1170,2026-07-19
538,1268,4080,15671,2685,876,2026-06-03
539,1286,6521,11560,1180,1255,2026-06-09
540,1252,607,15686,2888,1897,2026-06-25
541,1276,37,3436,670,1897,2026-07-04
542,1299,4564,12201,2488,1356,2026-07-07
543,1267,158,6215,326,1463,2026-08-21
544,1287,4772,6272,1054,944,2026-07-07
545,1275,1898,15331,1524,1315,2026-07-07
546,1292,7426,15695,1877,1052,2026-05-29
547,1273,4971,12173,1925,1262,2026-07-22
548,1292,9116,13785,3198,1166,2026-07-13
549,1274,9534,15474,1282,810,2026-07-28
550,1287,7493,15558,1365,1239,2026-08-26
551,1254,118,11215,1995,1995,2026-07-20
552,1281,1990,11793,2363,591,2026-07-09
553,1271,2760,9115,2256,1908,2026-06-09
554,1272,2997,19798,3032,1943,2026-08-04
555,1261,2440,4782,258,1872,2026-06-18
556,1264,9290,18514,2223,1309,2026-06-06
557,1258,3052,8178,1031,943,2026-07-02
558,1266,931,14385,1101,950,2026-06-28
559,1280,9750,12205,1982,637,2026-08-23
560,1288,2721,10482,2140,1041,2026-08-20
561,1297,8470,10671,655,1123,2026-08-21
562,1263,7442,11043,1327,722,2026-08-26
563,1290,9278,9645,2088,1673,2026-05-29
564,1275,6328,18103,2040,1138,2026-08-09
565,1283,6192,15392,1932,918,2026-06-06
566,1269,9586,6316,975,1527,2026-07-01
567,1283,2294,18771,4663,786,2026-07-11
568,1288,6147,16368,929,1215,2026-06-19
569,1277,7594,19075,4514,1927,2026-08-12
570,1262,7032,17616,1883,1017,2026-06-17
571,1254,7467,19982,4659,1640,2026-07-06
572,1259,6140,852,201,1475,2026-07-22
573,1257,1319,5117,1188,1187,2026-06-01
574,1252,529,10234,1238,697,2026-08-09
575,1255,1842,17407,3880,1840,2026-08-10
576,1252,474,18305,3093,1694,2026-08-12
577,1275,1200,7384,1243,1605,2026-06-17
578,1266,9425,19343,1266,1877,2026-07-12
579,1274,938,14182,2261,1441,2026-06-26
580,1277,356,14054,1907,1284,2026-06-22
581,1299,8581,4351,782,881,2026-07-30
582,1282,7953,8514,1979,1133,2026-06-12
583,1284,8379,1182,226,1562,2026-08-14
584,1287,4726,6816,1060,807,2026-06-27
585,1271,780,10417,939,736,2026-07-01
586,1277,3220,9758,1715,833,2026-08-16
587,1272,3797,16391,1657,1806,2026-07-17
588,1285,2693,4682,350,508,2026-06-07
589,1281,7874,8006,662,671,2026-07-11
590,1295,1489,4114,814,1225,2026-08-09
591,1259,2618,8980,2082,682,2026-06-18
592,1271,6155,9431,1455,1486,2026-06-30
593,1300,1318,15341,2619,871,2026-08-24
594,1285,3278,1169,289,1234,2026-06-29
595,1276,8577,1541,315,1071,2026-06-05
596,1289,6449,16966,3530,1625,2026-08-01
597,1274,3018,19497,2440,849,2026-07-12
598,1289,8040,14449,2068,868,2026-08-26
599,1261,5527,8856,2209,1091,2026-08-03
600,1251,8593,16844,1785,1152,2026-07-28
