inventory_id,location_id,product_id,quantity_on_hand,reorder_point,reorder_quantity,last_restock_date
75,55,6028,444,47,235,2026-07-02
76,223,9292,270,43,215,2026-07-20
77,139,6152,138,39,195,2026-07-30
78,369,5154,81,10,50,2026-07-20
79,876,9348,137,40,80,2026-07-30
80,534,3310,481,13,39,2026-07-06
81,367,8380,473,32,96,2026-08-07
82,978,7310,395,38,152,2026-08-04
83,926,3302,47,22,66,2026-07-16
84,1158,9300,403,41,205,2026-08-07
85,765,1000,140,10,40,2026-07-01
86,104,3995,303,28,140,2026-07-20
87,534,7003,402,31,124,2026-07-21
88,661,9571,487,21,63,2026-06-29
89,189,4687,393,33,66,2026-07-10
90,413,6521,361,20,40,2026-07-15
91,461,4762,370,14,42,2026-08-15
92,55,258,37,17,51,2026-08-18
93,494,5216,444,16,80,2026-08-14
94,561,8027,15,10,30,2026-07-29
95,372,9644,143,11,55,2026-08-03
96,719,5767,5,48,192,2026-08-20
97,361,9783,260,41,123,2026-07-23
98,644,4809,74,10,20,2026-07-05
99,873,8446,176,11,22,2026-07-28
100,183,8313,342,36,72,2026-07-09
101,1204,1262,165,14,28,2026-07-31
102,385,6675,481,15,45,2026-07-15
103,1116,6948,402,20,60,2026-08-20
104,1233,4092,55,38,152,2026-06-29
105,635,3644,129,41,205,2026-08-19
106,893,9418,249,23,92,2026-07-18
107,856,1058,491,40,120,2026-07-08
108,391,868,466,43,215,2026-08-13
109,967,3938,44,30,120,2026-06-29
110,1019,9331,337,15,75,2026-06-29
111,938,3740,25,19,76,2026-07-12
112,769,2599,95,38,152,2026-07-07
113,781,8089,323,41,82,2026-08-02
114,1235,9109,167,25,125,2026-08-03
115,477,3709,20,11,55,2026-08-23
116,230,259,499,12,48,2026-08-01
117,243,8050,478,47,235,2026-07-11
118,144,4062,49,39,156,2026-08-10
119,449,4552,444,47,188,2026-08-26
120,322,2795,212,42,210,2026-07-01
121,326,601,42,30,150,2026-08-23
122,445,6078,482,46,230,2026-07-13
123,140,2798,479,21,42,2026-07-20
124,818,6612,401,44,220,2026-07-21
125,1205,3115,41,31,155,2026-07-27
126,987,4914,294,48,96,2026-07-28
127,288,6990,125,25,75,2026-07-11
128,342,5704,259,24,72,2026-08-17
129,605,2844,166,26,52,2026-07-11
130,1241,4101,323,32,128,2026-08-10
131,518,7878,67,22,88,2026-07-24
132,1084,7943,145,26,104,2026-07-19
133,322,2906,185,31,93,2026-08-01
134,799,3664,271,49,98,2026-07-25
135,101,7518,379,41,205,2026-08-05
136,318,3116,63,12,48,2026-08-27
137,799,9987,492,19,95,2026-08-12
138,923,7240,478,36,108,2026-08-15
139,73,4950,394,26,130,2026-07-09
140,1154,2186,315,46,138,2026-08-20
141,870,5671,475,29,116,2026-08-24
142,58,6987,393,17,85,2026-08-17
143,380,5302,65,50,250,2026-08-01
144,95,8258,237,11,33,2026-07-07
145,549,7083,196,40,80,2026-07-17
146,812,6092,478,28,140,2026-07-27
147,539,8714,461,17,34,2026-07-21
148,327,2764,68,33,132,2026-08-13
149,569,7479,334,27,135,2026-08-15
150,1080,305,227,37,185,2026-08-08
151,397,6984,345,36,144,2026-07-02
152,800,9301,100,43,86,2026-08-01
153,601,7308,45,29,87,2026-07-23
154,1081,9192,187,18,90,2026-08-08
155,376,4541,357,32,64,2026-07-19
156,212,9952,134,16,48,2026-07-26
157,918,9886,431,41,164,2026-07-12
158,436,5075,296,41,123,2026-08-27
159,187,6266,469,49,196,2026-07-10
160,1245,2655,490,16,80,2026-08-02
161,534,7569,80,20,60,2026-08-20
162,712,2476,68,11,44,2026-07-25
163,513,6304,22,20,80,2026-08-02
164,358,7306,319,37,148,2026-08-03
165,937,7518,260,47,188,2026-06-29
166,355,5489,6,13,52,2026-08-26
167,111,1265,457,32,128,2026-08-12
168,1211,6562,64,22,110,2026-08-02
169,1222,7925,329,46,230,2026-08-04
170,192,7486,474,48,240,2026-08-16
171,221,8791,421,47,235,2026-07-29
172,204,3301,20,40,80,2026-08-14
173,299,6689,282,14,56,2026-08-21
174,112,1234,86,38,190,2026-07-24
175,1102,8572,74,20,40,2026-07-05
176,859,2338,322,27,108,2026-08-10
177,917,4412,292,45,180,2026-07-01
178,324,1330,183,19,95,2026-08-01
179,77,349,302,16,48,2026-08-12
180,999,4944,226,45,90,2026-08-18
181,511,9392,24,48,240,2026-08-08
182,774,2725,418,38,114,2026-08-01
183,443,297,12,17,34,2026-08-03
184,1077,5386,32,11,22,2026-06-28
185,958,4602,251,40,200,2026-07-18
186,708,6904,423,49,196,2026-06-28
187,699,968,283,23,46,2026-07-24
188,637,1294,196,41,205,2026-08-02
189,103,1439,284,48,192,2026-07-25
190,1084,1542,473,23,69,2026-07-07
191,270,7141,342,37,185,2026-08-18
192,324,5741,371,34,170,2026-07-25
193,253,6699,477,13,52,2026-08-21
194,1076,3401,49,37,185,2026-07-09
195,247,5741,406,46,230,2026-08-16
196,510,526,414,39,195,2026-07-09
197,1179,832,237,23,92,2026-08-09
198,806,2832,185,11,33,2026-08-21
199,706,2560,99,29,116,2026-06-30
200,34,7402,113,40,160,2026-08-25
201,988,150,16,36,108,2026-08-20
202,850,8723,447,49,98,2026-08-09
203,869,104,305,49,245,2026-07-22
204,27,9751,56,42,210,2026-08-18
205,955,1029,253,22,110,2026-07-31
206,300,7318,499,18,36,2026-07-25
207,831,5910,157,16,80,2026-07-24
208,1184,2707,274,30,120,2026-08-09
209,674,1609,421,39,195,2026-08-10
210,48,8315,239,11,55,2026-08-12
211,67,1015,133,10,50,2026-07-25
212,310,7742,236,27,108,2026-08-10
213,443,9906,177,15,60,2026-08-22
214,433,948,98,37,148,2026-07-13
215,122,1408,272,44,176,2026-08-03
216,966,782,117,34,170,2026-06-29
217,605,5955,340,12,36,2026-07-13
218,717,1739,499,28,84,2026-07-30
219,1065,9698,262,37,111,2026-08-21
220,1014,5320,425,10,30,2026-08-16
221,13,2611,332,46,184,2026-08-22
222,210,4864,120,35,140,2026-07-17
223,756,3094,196,21,63,2026-08-02
224,145,5569,170,11,44,2026-08-05
225,725,1935,237,16,64,2026-07-12
226,1204,5368,492,21,105,2026-08-05
227,628,3140,339,24,48,2026-07-03
228,892,4713,104,15,60,2026-07-04
229,870,2581,311,22,66,2026-08-05
230,845,9612,333,18,72,2026-08-04
231,190,2472,295,17,85,2026-07-12
232,765,2528,236,13,52,2026-08-14
233,1012,9206,333,10,40,2026-07-24
234,152,3829,211,27,108,2026-08-19
235,998,9542,480,14,28,2026-07-29
236,326,1681,485,14,56,2026-08-16
237,680,3605,241,37,185,2026-08-17
238,1250,5415,443,16,48,2026-08-08
239,925,1571,399,20,60,2026-08-23
240,313,1959,120,11,44,2026-08-23
241,811,8716,363,36,144,2026-07-18
242,745,4041,264,17,34,2026-07-31
243,132,3034,98,22,66,2026-07-06
244,783,8444,103,15,60,2026-07-19
245,800,9466,183,31,62,2026-07-27
246,182,8143,331,42,168,2026-07-04
247,1086,1217,442,37,111,2026-08-22
248,642,6013,189,22,110,2026-08-12
249,917,1165,173,26,78,2026-07-22
250,795,5872,354,31,93,2026-07-04
251,538,5070,264,22,44,2026-08-19
252,841,2000,99,28,84,2026-07-28
253,1240,7834,406,40,200,2026-07-22
254,1047,2068,55,35,105,2026-08-18
255,651,7284,291,39,156,2026-07-27
256,704,9246,108,37,148,2026-07-03
257,472,7418,342,47,235,2026-08-04
258,1140,3838,143,20,60,2026-08-17
259,523,68,256,34,68,2026-08-25
260,216,9434,80,38,114,2026-07-19
261,839,7397,174,27,81,2026-07-22
262,896,3685,140,28,112,2026-08-16
263,460,2164,223,42,126,2026-06-28
264,1105,465,32,43,172,2026-06-29
265,1164,4384,374,37,148,2026-07-04
266,482,9936,316,34,136,2026-08-18
267,276,3878,393,13,26,2026-06-30
268,577,1246,277,40,160,2026-07-07
269,7,1847,138,14,56,2026-07-05
270,1216,3137,222,39,78,2026-08-17
271,23,3217,167,26,130,2026-08-25
272,159,4611,206,39,156,2026-08-23
273,1246,9694,94,16,32,2026-08-20
274,969,2918,256,47,141,2026-07-15
275,642,7658,310,40,120,2026-07-18
276,1133,4126,472,46,184,2026-08-03
277,777,158,211,35,140,2026-07-16
278,276,4725,413,18,72,2026-08-26
279,711,6790,339,22,66,2026-08-25
280,583,7494,353,33,66,2026-07-23
281,514,2128,11,10,20,2026-08-19
282,789,2839,351,30,60,2026-07-04
283,795,8416,160,27,54,2026-06-30
284,61,1230,308,44,176,2026-08-14
285,572,1908,250,35,140,2026-08-23
286,576,7506,322,12,48,2026-08-21
287,369,174,472,22,44,2026-07-28
288,1079,8845,392,31,93,2026-08-07
289,923,1098,148,36,108,2026-08-21
290,961,2325,401,26,78,2026-08-04
291,1227,1323,134,39,156,2026-08-18
292,419,6378,213,28,56,2026-07-20
293,1091,5789,174,43,215,2026-08-18
294,130,9471,426,18,72,2026-07-19
295,194,3890,393,45,90,2026-08-17
296,1033,3093,26,12,36,2026-08-16
297,1030,6134,485,31,93,2026-07-04
298,576,1135,114,46,92,2026-08-22
299,84,5671,273,36,144,2026-08-27
300,342,3717,341,33,132,2026-07-28
301,402,2726,492,31,155,2026-06-29
302,480,2671,20,45,90,2026-08-04
303,370,7160,244,26,78,2026-07-26
304,544,3205,358,22,66,2026-08-19
305,873,446,221,46,138,2026-07-25
306,1197,576,218,10,30,2026-06-29
307,950,2264,476,39,156,2026-08-21
308,228,699,365,33,99,2026-08-17
309,267,6897,134,39,156,2026-08-15
310,818,7544,478,12,24,2026-08-20
311,765,1464,283,20,60,2026-07-22
312,1,4971,177,21,63,2026-08-14
313,412,8415,12,16,48,2026-08-21
314,156,7835,28,38,152,2026-08-12
315,335,6055,427,34,136,2026-08-18
316,1198,8781,92,28,140,2026-08-17
317,194,4603,261,45,225,2026-08-04
318,695,2050,101,11,22,2026-07-03
319,233,4254,68,38,152,2026-06-30
320,544,4457,163,16,80,2026-08-17
321,1007,675,184,47,94,2026-08-27
322,990,9420,301,48,96,2026-08-27
323,747,7464,465,15,75,2026-08-13
324,20,4657,418,35,105,2026-07-03
325,1080,966,337,24,48,2026-07-01
326,557,9525,189,27,108,2026-08-17
327,35,492,353,17,34,2026-08-02
328,134,9507,494,37,148,2026-08-12
329,525,6318,139,45,225,2026-08-24
330,505,22,477,38,76,2026-07-18
331,650,45,207,44,88,2026-08-08
332,891,9849,204,24,48,2026-07-15
333,463,3490,241,32,96,2026-08-23
334,1179,2051,202,37,111,2026-08-25
335,609,7691,122,34,68,2026-08-03
336,1162,9482,165,44,220,2026-07-11
337,573,7143,490,20,80,2026-08-16
338,823,2495,389,34,68,2026-08-16
339,1242,4897,484,37,185,2026-07-17
340,477,7131,23,28,112,2026-08-11
341,913,3427,405,13,65,2026-06-28
342,550,4640,46,27,81,2026-07-30
343,548,3236,411,43,172,2026-07-10
344,253,4328,251,40,160,2026-08-17
345,553,6699,399,14,70,2026-07-18
346,520,2862,374,50,150,2026-07-26
347,780,9553,191,36,144,2026-08-24
348,1110,7600,446,15,45,2026-07-13
349,15,1249,83,12,24,2026-08-20
350,1189,3579,310,11,22,2026-08-16
351,1206,2416,166,13,39,2026-06-30
352,684,8330,492,32,160,2026-07-07
353,224,3430,478,29,87,2026-07-02
354,188,3082,264,42,168,2026-06-29
355,324,5249,496,24,120,2026-07-17
356,920,5596,433,33,66,2026-08-25
357,411,1814,93,39,195,2026-08-22
358,259,8574,456,24,96,2026-08-07
359,803,605,103,17,34,2026-08-16
360,154,1967,285,18,90,2026-07-23
361,173,7464,258,28,56,2026-07-19
362,761,2144,111,41,82,2026-07-08
363,1150,1634,293,40,80,2026-07-17
364,1057,3633,17,11,44,2026-07-17
365,1064,72,45,15,60,2026-07-27
366,26,4187,61,18,54,2026-07-14
367,1010,9043,164,13,26,2026-08-26
368,794,5812,34,12,36,2026-08-10
369,108,3232,312,50,150,2026-07-17
370,1018,9068,451,19,95,2026-07-12
371,684,8635,419,35,105,2026-07-10
372,933,1275,225,16,64,2026-08-06
373,653,4539,328,30,90,2026-07-05
374,831,8620,152,48,192,2026-07-16
375,912,6792,323,45,90,2026-07-09
376,1143,76,403,45,135,2026-07-23
377,378,187,311,15,30,2026-07-19
378,370,2191,149,25,75,2026-06-30
379,1107,8761,329,35,70,2026-07-27
380,537,3765,240,39,117,2026-07-27
381,355,8589,385,44,176,2026-07-28
382,414,1679,84,22,88,2026-08-27
383,213,7916,361,50,100,2026-07-11
384,781,9027,481,21,42,2026-06-29
385,474,5677,375,23,46,2026-08-23
386,764,1610,247,20,80,2026-08-18
387,305,7525,40,44,88,2026-07-27
388,922,198,190,45,180,2026-07-30
389,683,7113,484,50,150,2026-07-23
390,165,3641,37,14,42,2026-07-15
391,1126,4868,422,39,156,2026-08-04
392,981,8261,75,50,250,2026-08-03
393,124,8005,250,39,117,2026-07-12
394,66,1473,39,49,147,2026-07-22
395,996,1576,138,47,188,2026-08-07
396,419,9644,134,14,28,2026-07-05
397,220,6826,325,12,60,2026-06-28
398,119,6008,416,23,46,2026-07-30
399,2,2161,112,41,82,2026-07-16
400,319,1098,67,42,84,2026-08-14
401,448,1202,100,35,175,2026-07-29
402,131,7868,341,49,196,2026-08-05
403,818,2227,73,37,185,2026-07-19
404,165,4746,438,23,69,2026-07-28
405,371,4841,298,23,115,2026-07-14
406,1133,9967,341,27,108,2026-07-03
407,331,9055,455,32,160,2026-07-21
408,1081,1119,323,33,99,2026-07-12
409,206,5259,252,21,84,2026-07-17
410,989,6294,369,15,30,2026-08-11
411,945,3911,476,34,102,2026-07-20
412,225,8009,371,39,117,2026-06-29
413,1174,1148,269,24,48,2026-06-28
414,84,3879,385,14,28,2026-07-31
415,1022,2290,323,13,39,2026-07-16
416,643,3123,485,30,60,2026-07-19
417,1103,4726,289,44,88,2026-08-10
418,249,4130,468,16,32,2026-08-27
419,703,9559,333,35,175,2026-08-25
420,240,5950,204,49,196,2026-08-06
421,85,364,143,32,64,2026-07-21
422,1047,9683,472,23,69,2026-07-06
423,976,8702,309,39,78,2026-07-08
424,149,4421,434,11,33,2026-06-29
425,172,6573,12,30,60,2026-08-27
426,466,5604,7,12,24,2026-08-19
427,294,6820,258,49,98,2026-07-16
428,216,188,98,38,76,2026-07-09
429,947,8065,481,28,112,2026-07-03
430,1092,7780,455,44,176,2026-07-26
431,1186,6503,234,33,165,2026-08-12
432,108,9391,439,13,52,2026-07-27
433,503,3908,52,31,93,2026-08-19
434,1086,2386,370,33,66,2026-07-16
435,130,7597,6,11,44,2026-06-29
436,117,7911,432,28,84,2026-06-30
437,1180,8125,264,16,48,2026-08-23
438,352,3268,447,17,34,2026-08-03
439,447,2879,349,48,240,2026-07-08
440,1222,1715,451,16,48,2026-08-14
441,936,7967,313,21,105,2026-08-03
442,360,8130,44,45,225,2026-07-07
443,354,713,89,35,175,2026-07-11
444,1021,7295,363,41,164,2026-08-20
445,428,9049,491,16,80,2026-07-26
446,695,4622,296,43,86,2026-07-10
447,103,5268,218,21,84,2026-07-14
448,606,1687,448,20,40,2026-06-30
449,1244,7351,150,18,90,2026-06-28
450,1212,7898,442,15,75,2026-07-10
451,616,6130,195,17,68,2026-08-02
452,755,1983,189,41,164,2026-07-31
453,88,3717,431,17,51,2026-07-05
454,879,5927,27,47,94,2026-08-05
455,499,6659,338,42,210,2026-08-25
456,988,3529,143,22,66,2026-07-14
457,685,640,453,41,205,2026-08-14
458,218,2884,52,36,144,2026-07-13
459,1048,5278,277,27,81,2026-08-27
460,236,9257,410,42,126,2026-07-20
461,1096,3251,315,45,90,2026-07-25
462,215,2347,256,32,128,2026-08-13
463,1088,47,406,24,48,2026-08-06
464,483,6217,32,37,185,2026-08-17
465,419,8726,366,23,69,2026-07-21
466,672,3855,52,17,51,2026-08-02
467,724,8269,405,39,195,2026-08-03
468,601,1330,253,35,105,2026-06-28
469,905,808,181,35,105,2026-08-12
470,959,9369,111,44,220,2026-08-18
471,839,7424,50,12,48,2026-08-12
472,14,1983,292,19,76,2026-07-17
473,358,2441,62,16,64,2026-08-24
474,765,8087,446,28,140,2026-07-13
475,120,6988,300,21,84,2026-08-17
476,42,9742,311,24,48,2026-08-01
477,508,2098,84,48,96,2026-07-05
478,500,1812,44,17,51,2026-07-28
479,1119,6303,66,30,120,2026-07-18
480,187,202,309,22,110,2026-07-21
481,520,5920,431,32,96,2026-07-20
482,904,9865,188,10,30,2026-07-24
483,783,1905,304,47,94,2026-08-02
484,1033,4510,302,16,64,2026-06-28
485,711,278,60,17,34,2026-07-23
486,655,6846,185,45,90,2026-06-28
487,1074,4035,424,21,105,2026-07-08
488,213,7233,283,10,50,2026-07-13
489,1225,4997,167,46,138,2026-07-29
490,1188,386,235,26,78,2026-08-26
491,1075,2434,427,29,87,2026-07-23
492,1063,2321,482,46,184,2026-07-02
493,849,6669,153,26,104,2026-07-29
494,1088,2818,402,32,64,2026-07-23
495,716,7522,132,38,114,2026-08-05
496,1,2380,76,33,99,2026-08-25
497,764,580,73,50,100,2026-07-16
498,853,4860,43,16,48,2026-07-19
499,671,3503,118,27,108,2026-07-15
500,662,8399,390,20,60,2026-08-27
501,799,9130,302,43,172,2026-07-16
502,45,2853,84,26,78,2026-06-28
503,940,3138,120,35,105,2026-07-27
504,867,2135,290,40,160,2026-08-14
505,821,3634,153,11,44,2026-08-16
506,37,6239,133,25,50,2026-07-20
507,724,5423,64,22,66,2026-07-07
508,748,2991,157,34,170,2026-08-27
509,192,6149,428,35,105,2026-06-30
510,474,8040,58,21,42,2026-08-26
511,312,1095,41,26,104,2026-07-12
512,1188,8361,273,19,76,2026-08-14
513,736,1398,15,13,26,2026-08-02
514,93,1718,300,27,81,2026-08-20
515,421,9012,411,34,68,2026-06-28
516,1069,7073,371,33,66,2026-08-25
517,15,7567,30,32,64,2026-07-27
518,1137,8119,391,41,205,2026-08-17
519,145,2617,151,22,66,2026-07-25
520,750,894,349,31,155,2026-08-23
521,565,9030,400,40,160,2026-07-23
522,197,8742,439,22,88,2026-08-10
523,648,9472,246,34,136,2026-06-29
524,179,5859,139,39,156,2026-08-04
525,257,9456,57,39,117,2026-07-28
526,258,4650,421,36,180,2026-07-10
527,94,2732,416,28,112,2026-08-22
528,493,7753,490,10,40,2026-08-13
529,554,564,10,15,30,2026-07-01
530,771,7162,461,25,50,2026-08-02
531,427,4055,460,28,140,2026-07-11
532,428,8014,10,25,75,2026-07-03
533,607,5251,195,50,250,2026-08-15
534,239,4239,295,38,114,2026-07-12
535,575,1297,369,49,147,2026-08-09
536,110,554,316,10,30,2026-08-03
537,316,3214,77,24,96,2026-08-18
538,698,4424,322,24,48,2026-07-04
539,195,7152,94,30,60,2026-07-21
540,965,745,494,41,82,2026-07-10
541,404,5893,343,20,40,2026-08-10
542,224,2655,408,49,245,2026-07-30
543,853,808,479,49,147,2026-07-17
544,792,897,304,31,124,2026-07-25
545,956,3930,158,48,96,2026-07-03
546,938,4127,413,29,87,2026-07-24
547,1027,1099,307,21,63,2026-08-18
548,528,1951,213,17,68,2026-08-10
549,206,7500,143,31,155,2026-07-25
550,595,5012,297,39,156,2026-08-27
551,521,3797,80,30,150,2026-08-25
552,771,1558,500,45,135,2026-08-25
553,961,2685,267,43,172,2026-08-15
554,1066,6093,93,49,196,2026-08-22
555,90,7234,486,27,54,2026-07-22
556,218,1530,231,23,115,2026-08-20
557,582,3019,182,12,24,2026-07-20
558,513,8254,71,41,123,2026-07-06
559,1060,140,420,40,200,2026-07-19
560,529,3603,295,25,100,2026-07-25
561,22,4837,151,13,65,2026-07-25
562,502,8523,35,20,40,2026-08-25
563,329,2292,437,21,105,2026-08-01
564,315,5297,357,47,141,2026-08-09
565,500,8336,49,42,84,2026-08-03
566,763,8227,337,41,164,2026-07-31
567,80,9524,341,49,147,2026-08-17
568,931,846,393,31,124,2026-07-27
569,835,5324,339,45,180,2026-08-03
570,1018,4461,408,10,40,2026-07-22
571,24,6284,26,25,125,2026-08-14
572,1177,6384,386,23,92,2026-07-01
573,143,4750,117,43,129,2026-07-03
574,985,5774,310,10,20,2026-08-12
575,519,4600,45,40,120,2026-07-25
576,1017,1297,35,45,90,2026-08-24
577,1076,430,244,21,42,2026-08-21
578,853,7076,357,20,100,2026-08-04
579,30,5941,227,44,220,2026-07-15
580,686,1766,118,45,225,2026-07-09
581,1027,2726,467,26,104,2026-08-11
582,1151,5737,115,50,150,2026-07-16
583,508,220,496,40,200,2026-07-13
584,511,4910,16,50,200,2026-07-12
585,731,7707,11,31,62,2026-07-01
586,597,5228,304,36,144,2026-08-12
587,1008,6267,224,15,45,2026-08-11
588,938,1003,126,37,111,2026-08-04
589,838,9170,303,34,102,2026-07-17
590,1037,586,176,19,38,2026-07-24
591,503,4864,308,35,105,2026-07-29
592,860,2527,164,45,135,2026-07-10
593,488,6723,114,45,90,2026-07-10
594,1209,5962,312,36,144,2026-07-07
595,788,5112,153,39,78,2026-08-14
596,1227,7293,333,40,80,2026-06-29
597,664,4120,453,22,66,2026-07-14
598,385,5083,381,31,155,2026-07-10
599,525,3081,362,26,130,2026-07-19
600,655,9652,294,30,120,2026-08-14
601,478,4155,154,11,44,2026-07-21
602,88,613,140,40,200,2026-07-29
603,391,4498,405,23,115,2026-07-02
604,1174,3232,256,45,180,2026-06-29
605,119,1109,63,10,30,2026-08-27
606,979,9542,278,26,130,2026-07-12
607,609,3295,370,13,52,2026-08-07
608,1128,9590,36,20,60,2026-08-16
609,230,4586,377,41,82,2026-07-01
610,4,5134,500,38,76,2026-08-04
611,573,5750,15,19,38,2026-07-13
612,203,8718,366,11,33,2026-07-08
613,1030,3236,244,40,160,2026-07-18
614,824,7448,167,42,168,2026-08-27
615,327,8669,181,27,81,2026-07-28
616,927,4023,263,47,188,2026-08-26
617,764,7326,12,31,93,2026-08-08
618,780,4388,60,24,120,2026-08-07
619,318,5780,46,29,87,2026-08-17
620,584,1550,92,13,39,2026-07-20
621,704,2750,263,34,102,2026-07-19
622,298,8132,188,36,108,2026-08-06
623,313,9714,125,39,156,2026-08-05
624,227,8475,218,48,96,2026-08-06
625,491,6923,80,20,40,2026-06-30
626,1139,381,57,28,140,2026-08-24
627,1063,5333,38,10,40,2026-07-25
628,1046,5304,253,29,58,2026-07-17
629,966,2565,278,31,62,2026-07-17
630,814,7631,413,23,69,2026-07-23
631,848,6208,91,32,64,2026-07-31
632,1041,4502,165,37,148,2026-08-15
633,654,164,26,31,155,2026-08-06
634,197,6206,315,32,160,2026-07-02
635,1204,5174,65,48,96,2026-06-28
636,709,1586,321,22,88,2026-07-04
637,607,6839,460,50,250,2026-07-31
638,1106,4406,256,49,147,2026-08-25
639,757,1737,367,46,138,2026-08-24
640,1153,8359,64,20,100,2026-07-24
641,663,1038,496,16,32,2026-08-20
642,887,1780,65,31,155,2026-07-27
643,963,5980,255,45,90,2026-07-31
644,25,5323,243,41,123,2026-07-10
645,607,1710,292,49,147,2026-07-25
646,1131,5437,451,23,92,2026-07-07
647,961,8221,42,10,30,2026-08-25
648,700,8135,68,15,45,2026-08-06
649,1027,9772,480,36,144,2026-06-30
650,1160,3076,161,26,78,2026-07-26
651,941,7026,30,42,84,2026-07-13
652,1226,4502,205,17,68,2026-07-21
653,583,8419,307,33,132,2026-07-24
654,1221,9594,179,23,92,2026-08-08
655,364,6449,266,31,155,2026-07-31
656,17,4235,464,29,116,2026-08-25
657,97,4636,406,22,110,2026-07-22
658,367,2215,108,25,125,2026-07-12
659,938,41,20,25,75,2026-07-21
660,749,2235,140,27,54,2026-08-09
661,349,5192,42,40,200,2026-08-03
662,624,7045,500,22,88,2026-08-12
663,774,9879,408,49,196,2026-07-23
664,235,9240,319,48,144,2026-07-22
665,388,8680,354,50,250,2026-07-24
666,448,221,300,17,85,2026-07-30
667,201,523,55,12,24,2026-07-13
668,707,4685,422,26,52,2026-07-29
669,427,9759,289,18,36,2026-07-11
670,244,9374,188,39,195,2026-07-28
671,741,4924,414,31,62,2026-08-26
672,930,4444,462,40,200,2026-07-19
673,1080,2852,84,26,104,2026-08-23
674,746,9798,231,20,40,2026-07-10
675,887,7765,37,19,38,2026-07-12
676,265,6380,254,11,44,2026-07-09
677,439,5607,284,47,188,2026-07-12
678,567,6973,308,18,36,2026-08-16
679,702,5350,451,35,140,2026-08-05
680,1188,7862,284,19,95,2026-07-07
681,1175,8334,156,33,165,2026-07-21
682,481,3560,309,41,82,2026-07-14
683,971,2408,269,24,48,2026-08-13
684,714,9034,89,31,62,2026-08-13
685,1144,420,491,34,136,2026-07-30
686,591,1792,287,48,240,2026-07-31
687,766,2640,373,47,141,2026-07-29
688,842,9033,337,16,80,2026-07-28
689,869,5291,117,41,123,2026-08-18
690,644,3165,188,30,60,2026-07-13
691,866,4369,419,12,48,2026-07-29
